value,count
 MAN-PLYM,1
 MAN-WIGH,355
ACA-NEWF,43
ACE-CANT,121
ACE-CTIM,1
ACE-GUIN,10
ACE-IROI,595
ACE-MADE,2
ACE-ROCH,10158
ACE-SVIC,2
ACE-YEUX,1659
ANE-FAST,6
ANE-IRSE,5
ANE-LUND,3
ANE-MALI,1
ANE-SHAN,1
ASA-ANGO,2
AUE-BALT,4
AUE-BOST,13
AUE-NYOR,1
AUE-PHIL,2
BAL-BASE,22
BAL-BASO,30
BAL-BAWE,9
BAL-BELT,1
BAL-RIGA,2
BAL-SKAG,21
GUL-APPR,2
GUL-LEEW,1
ISW-MAUR,1
ISW-REUN,1
MAN-DOVE,62
MAN-PLYM,16
MAN-PORT,84
MAN-WIGH,88
MED-BALN,1
MED-BALS,1
MED-LION,3
NOR- FORH,2
NOR-DOVE,243
NOR-GBIG,18
NOR-HUMB,8
NOR-THAM,85
NOR-TYNE,9
NOR-UTSN,36
vide,98
