value,count
Aber-Ildut,6
Ars-en-Ré,90
Arzon,49
Belle-Île-en-Mer,9
Bordeaux,164
Boston,2
Bourcefranc ,72
Bourgneuf,8
Brest,9
Caen ,8
Camaret,25
Carteret,6
Dieppe,6
Fécamp,12
Gloucester,1
Granville,1
L'Houmée,378
La Rochelle,272
Locmariaquer,1520
Lorient,20
Marans,985
Marennes,91
Meschers,5
Morlaix,49
Nantes,1
Noirmoutier,81
Ouessant,18
Plouharnel,2
Pornic,4
Port-d'Envaux,208
Port-des-Barques,100
Quiberon,24
Rhuys,21
Rouen,5
Saint-Denis d'Oléron,281
Saint-Gilles-sur-Vie,16
Saint-Malo,42
Saint-Martin-de-Ré,739
Saint-Savinien,20
Saint-Valery en Caux,3
Saint-Valery-sur-Somme,50
Taillebourg,665
Tonnay-Charente,494
Tréguier,1
Vannes,6
vide,92
île d'Arz,9
île d'Oléron,707
île d'Yeu,2
île de Bouin,105
