value,count
1789=01=01,2
1789=01=02,1
1789=01=03,6
1789=01=05,4
1789=01=06,1
1789=01=10,2
1789=01=12,5
1789=01=13,3
1789=01=14,4
1789=01=15,6
1789=01=16,15
1789=01=16!,1
1789=01=17,10
1789=01=18,1
1789=01=19,5
1789=01=20,9
1789=01=21,26
1789=01=22,16
1789=01=23,4
1789=01=24,4
1789=01=26,17
1789=01=27,26
1789=01=28,12
1789=01=29,17
1789=01=30,24
1789=01=31,24
1789=02=01,2
1789=02=02,1
1789=02=03,8
1789=02=04,20
1789=02=05,18
1789=02=06,23
1789=02=06!,1
1789=02=07,20
1789=02=08,1
1789=02=09,18
1789=02=10,16
1789=02=11,15
1789=02=12,17
1789=02=13,35
1789=02=14,24
1789=02=15,1
1789=02=16,16
1789=02=17,23
1789=02=18,10
1789=02=19,20
1789=02=20,20
1789=02=21,25
1789=02=22,2
1789=02=23,20
1789=02=24,11
1789=02=25,4
1789=02=26,5
1789=02=27,23
1789=02=28,18
1789=03=01,3
1789=03=02,14
1789=03=03,9
1789=03=04,21
1789=03=05,10
1789=03=06,19
1789=03=07,21
1789=03=08,3
1789=03=09,17
1789=03=10,8
1789=03=11,29
1789=03=12,25
1789=03=13,25
1789=03=14,19
1789=03=15,3
1789=03=16,26
1789=03=16!,1
1789=03=17,15
1789=03=18,10
1789=03=19,17
1789=03=20,19
1789=03=21,19
1789=03=23,15
1789=03=24,15
1789=03=26,23
1789=03=27,27
1789=03=28,23
1789=03=29,5
1789=03=30,26
1789=03=31,12
1789=04=01,34
1789=04=02,21
1789=04=03,17
1789=04=04,23
1789=04=05,1
1789=04=06,29
1789=04=07,16
1789=04=08,31
1789=04=09,17
1789=04=10,36
1789=04=11,39
1789=04=12,6
1789=04=14,1
1789=04=15,24
1789=04=16,27
1789=04=17,18
1789=04=17!,1
1789=04=18,18
1789=04=20,34
1789=04=21,23
1789=04=22,24
1789=04=23,32
1789=04=24,19
1789=04=25,23
1789=04=26,5
1789=04=27,25
1789=04=28,26
1789=04=29,23
1789=04=30,26
1789=05=01,45
1789=05=02,27
1789=05=03,3
1789=05=04,28
1789=05=05,30
1789=05=06,33
1789=05=07,29
1789=05=08,32
1789=05=09,48
1789=05=09!,1
1789=05=10,4
1789=05=11,32
1789=05=12,47
1789=05=13,25
1789=05=14,32
1789=05=15,27
1789=05=16,13
1789=05=17,2
1789=05=18,24
1789=05=19,13
1789=05=20,33
1789=05=20!,1
1789=05=21,1
1789=05=22,22
1789=05=22!,1
1789=05=23,48
1789=05=24,1
1789=05=24!,2
1789=05=25,8
1789=05=26,31
1789=05=27,35
1789=05=28,25
1789=05=29,20
1789=05=30,19
1789=06=01,3
1789=06=02,12
1789=06=02!,1
1789=06=03,25
1789=06=03!,1
1789=06=04,27
1789=06=04!,1
1789=06=05,14
1789=06=06,31
1789=06=07,2
1789=06=08,31
1789=06=09,25
1789=06=10,39
1789=06=11,1
1789=06=12,32
1789=06=13,24
1789=06=14,2
1789=06=14!,1
1789=06=15,20
1789=06=15!,1
1789=06=16,28
1789=06=17,26
1789=06=18,7
1789=06=18!,1
1789=06=19,21
1789=06=20,37
1789=06=21,3
1789=06=22,10
1789=06=23,34
1789=06=25,20
1789=06=26,37
1789=06=27,31
1789=06=28,3
1789=06=29,6
1789=06=30,8
1789=07=01,30
1789=07=01!,1
1789=07=02,22
1789=07=02!,2
1789=07=03,21
1789=07=04,28
1789=07=04!,1
1789=07=05,3
1789=07=06,33
1789=07=07,40
1789=07=08,52
1789=07=09,39
1789=07=10,21
1789=07=10!,1
1789=07=11,35
1789=07=12,5
1789=07=13,22
1789=07=14,23
1789=07=15,25
1789=07=15!,1
1789=07=16,22
1789=07=17,16
1789=07=18,22
1789=07=19,7
1789=07=20,26
1789=07=21,28
1789=07=22,23
1789=07=23,30
1789=07=24,33
1789=07=25,27
1789=07=26,1
1789=07=27,27
1789=07=28,21
1789=07=29,28
1789=07=30,23
1789=07=31,20
1789=08=01,27
1789=08=02,1
1789=08=03,30
1789=08=04,24
1789=08=05,25
1789=08=05!,2
1789=08=06,32
1789=08=07,44
1789=08=08,43
1789=08=09,1
1789=08=10,29
1789=08=11,23
1789=08=12,24
1789=08=13,21
1789=08=14,28
1789=08=16,2
1789=08=17,42
1789=08=18,29
1789=08=18!,1
1789=08=19,18
1789=08=20,25
1789=08=21,29
1789=08=22,55
1789=08=23,2
1789=08=23!,1
1789=08=24,42
1789=08=25,6
1789=08=26,37
1789=08=27,25
1789=08=28,26
1789=08=29,21
1789=08=30,1
1789=08=31,21
1789=09=01,33
1789=09=02,35
1789=09=03,26
1789=09=04,24
1789=09=05,27
1789=09=06,1
1789=09=07,42
1789=09=07!,1
1789=09=08,5
1789=09=09,32
1789=09=10,20
1789=09=11,22
1789=09=12,22
1789=09=13,5
1789=09=14,29
1789=09=15,25
1789=09=16,32
1789=09=17,32
1789=09=18,32
1789=09=19,16
1789=09=20,2
1789=09=21,48
1789=09=22,31
1789=09=23,26
1789=09=24,35
1789=09=25,19
1789=09=26,32
1789=09=27,5
1789=09=28,17
1789=09=29,34
1789=09=30,12
1789=10=01,39
1789=10=02,23
1789=10=03,32
1789=10=04,11
1789=10=04!,1
1789=10=05,24
1789=10=06,14
1789=10=07,11
1789=10=08,14
1789=10=09,17
1789=10=10,20
1789=10=11,1
1789=10=12,16
1789=10=13,11
1789=10=14,22
1789=10=15,31
1789=10=16,17
1789=10=17,29
1789=10=18,3
1789=10=19,17
1789=10=20,25
1789=10=21,19
1789=10=22,20
1789=10=23,24
1789=10=24,29
1789=10=25,5
1789=10=26,31
1789=10=27,15
1789=10=28,21
1789=10=29,21
1789=10=30,18
1789=10=31,35
1789=11=01,3
1789=11=02,16
1789=11=03,17
1789=11=04,8
1789=11=05,12
1789=11=06,18
1789=11=07,9
1789=11=09,20
1789=11=10,15
1789=11=11,23
1789=11=12,14
1789=11=13,15
1789=11=14,16
1789=11=15,2
1789=11=16,11
1789=11=17,15
1789=11=18,11
1789=11=19,19
1789=11=20,14
1789=11=21,15
1789=11=23,24
1789=11=24,13
1789=11=25,27
1789=11=26,13
1789=11=27,18
1789=11=28,18
1789=11=29,13
1789=11=29!,1
1789=11=30,18
1789=11=31,2
1789=12=01,23
1789=12=02,30
1789=12=03,16
1789=12=04,22
1789=12=05,32
1789=12=06,3
1789=12=07,24
1789=12=08,1
1789=12=09,28
1789=12=10,7
1789=12=11,22
1789=12=12,16
1789=12=13,2
1789=12=14,11
1789=12=15,4
1789=12=16,9
1789=12=17,15
1789=12=18,27
1789=12=18!,1
1789=12=19,10
1789=12=20,1
1789=12=21,15
1789=12=22,7
1789=12=23,14
1789=12=24,16
1789=12=27,3
1789=12=28,5
1789=12=29,11
1789=12=30,11
1789=12=31,5
vide,7117
