value,count
"[{""1744-1806"" : ""Prussia""},{""1806-1810"" : ""Kingdom of Holland""},{""1810-1813"" : ""France""},{""1813-1815"" : ""Prussia""}]",8
"[{""1749-1773"" : ""Denmark""},{""1773-1815"" : ""Duchy of Oldenburg""}]",4
"[{""1749-1775"" : ""Great Britain""},{""1776-1815"" : ""United States""}]",2
"[{""1749-1783"" : ""Great Britain""},{""1783-1815"" : ""United States""}]",47
"[{""1749-1793"" : ""Poland""},{""1793-1806"" : ""Prussia""},{""1807-1813"" : ""Danzig""},{""1814-1815"" : ""Prussia""}]",14
"[{""1749-1794"" : ""United Provinces""},{""1795-1805"" : ""Batavian Republic""},{""1806-1810"" : ""Kingdom of Holland""},{""1811-1813"" : ""France""},{""1814-1815"" : ""United Kingdom of the Netherlands""}]",118
"[{""1749-1810"" : ""Bremen""},{""1810-1813"" : ""France""}]",11
"[{""1749-1810"" : ""Hamburg""},{""1810-1813"" : ""France""}]",24
"[{""1749-1810"" : ""Lubeck""},{""1810-1813"" : ""France""}]",18
"[{""1749-1815"" : ""Denmark""}]",110
"[{""1749-1815"" : ""France""}]",12719
"[{""1749-1815"" : ""Great Britain""}]",292
"[{""1749-1815"" : ""Mecklenburg""}]",4
"[{""1749-1815"" : ""Mecklenburg ""}]",4
"[{""1749-1815"" : ""Prussia""}]",36
"[{""1749-1815"" : ""Spain""}]",16
"[{""1749-1815"" : ""United Provinces""}]",2
vide,400
