value,count
1,82
10,7
100,2
1008,1
102,1
103,3
1054,6
1087,4
109,1
11,15
110,1
1100,9
112,3
114,3
115,4
117,2
1176,2
12,10
120,3
121,1
122,1
123,2
1270,6
13,12
135,2
14,8
140,3
141,1
142,2
143,1
1460,6
147,5
148,4
1481,8
15,2
150,2
152,1
1547,29
156,1
1581,2
16,9
1629,1
163,2
1641,4
166,1
168,5
17,1
1702,4
172,1
1726,2
1728,2
1732,12
175,2
177,3
1785,1
185,2
1858,5
187,33
19,8
191,3
1912,1
194,2
1946,2
196,6
197,5
198,2
199,8
2,45
20,7
201,2
203,4
21,2
211,2
2118,1
215,1
217,4
2196,15
22,9
222,8
225,1
226,3
227,4
23,5
236,2
24,6
245,2
247,1
25,1
251,27
258,1
259,2
26,2
260,2
264,2
267,1
27,7
270,5
272,4
274,1
277,6
2770,1
279,18
28,2
287,4
29,7
3,39
30,4
309,2
31,3
3107,5
311,1
3190,3
322,1
329,1
33,1
331,3
339,1
340,2
341,1
35,10
352,1
36,3
369,2
37,4
371,3
39,1
390,3
391,1
392,1
4,12
40,8
405,2
41,1
413,2
414,12
42,1
428,1
43,8
432,2
437,2
44,6
440,4
443,9
452,1
458,3
461,1
476,2
48,1
487,1
49,1
495,3
5,16
50,2
504,1
509,2
514,4
517,2
53,1
548,5
55,1
556,2
557,1
56,9
573,3
581,9
588,1
59,2
6,23
60,2
601,2
61,2
621,1
633,3
65,1
663,9
669,1
67,1
68,2
688,5
69,5
692,4
7,18
70,1
723,19
746,1
75,2
756,1
76,1
761,1
768,1
77,3
79,3
8,22
80,1
82,2
83,2
834,7
861,2
870,3
89,2
892,4
9,7
90,6
908,2
929,2
93,4
95,5
96,21
961,5
97,2
98,1
99,4
997,4
