value,count
70987,1
70989,2
70991,2
71010,2
71011,1
71016,2
76310,7
76337,8
76357,10
76358,9
76359,4
76363,8
76371,5
76372,21
76374,14
76385,3
76389,3
76397,11
76428,21
76537,27
76539,27
76545,27
76548,27
76602,27
76607,27
76608,27
76610,27
76611,27
76612,27
76615,27
76616,27
76618,27
76620,16
76622,16
76626,16
76628,16
76629,16
76633,16
76636,16
76638,16
76641,16
76642,16
76644,16
76658,27
76659,27
76660,27
76661,27
76662,27
76663,27
76664,27
76685,15
76700,26
76702,26
76780,5
76800,27
76820,15
76833,15
76854,14
76921,14
76950,9
76968,27
76981,21
77166,2
77170,1
77176,10
77179,12
77185,12
77187,21
77192,12
77194,21
77195,21
77201,17
77203,17
77250,7
77252,2
77279,15
77280,4
77282,14
77283,14
77290,15
77291,15
77292,15
77295,5
77297,14
77299,5
77322,5
77324,5
77327,5
77371,27
77372,27
77374,27
77411,9
77425,15
77447,7
77461,10
77464,12
77465,12
77476,8
77515,4
77516,10
77520,5
77525,3
77528,5
77601,9
78589,27
78664,12
78688,8
78697,3
78700,15
78710,12
78714,15
78722,12
79795,27
79799,9
79801,5
79880,5
79881,21
79885,27
79893,21
79905,6
79940,3
79966,5
79969,27
79971,27
79972,26
79978,15
79990,21
79993,21
79994,21
79996,21
80005,14
80019,14
80028,10
80044,21
80052,10
80053,4
80054,7
80058,7
80060,4
80061,12
80063,7
80064,9
80069,6
80072,7
80076,7
80078,3
80080,6
80081,10
80082,10
80085,12
80086,7
80087,6
80090,4
80092,2
80096,8
80100,6
80101,1
80102,15
80105,9
80109,10
80115,7
80116,12
80117,9
80118,9
80119,7
80120,6
80121,2
80122,4
80127,15
80129,7
80130,10
80131,8
80133,6
80137,6
80141,9
80145,10
80149,7
80154,12
80156,15
80158,12
80159,6
80160,9
80163,10
80164,6
80188,12
80247,15
80251,9
80252,7
80254,4
80255,8
80256,12
80257,3
80258,7
80259,9
80261,4
80262,4
80263,6
80265,10
80266,9
80267,7
80268,4
80269,8
80271,3
80273,4
80274,9
80276,6
80277,12
80278,4
80280,7
80281,9
80282,9
80284,4
80285,7
80287,4
80289,3
80290,4
80291,8
80292,1
80293,6
80294,10
80295,3
80296,12
80297,12
80298,4
80302,8
80305,6
80306,9
80313,9
80316,12
80317,7
80320,6
80321,2
80323,6
80324,8
80327,8
80338,10
80339,9
80353,8
80400,27
80401,27
80403,27
80404,27
80409,27
80412,27
80416,27
80418,27
80420,27
80424,27
80426,27
80519,3
80538,27
80620,8
80654,12
80731,5
80817,14
80819,5
80823,21
80824,11
80825,27
80826,21
80829,21
80862,2
80874,27
80897,11
80936,5
80948,9
81003,3
81004,3
81005,3
81031,5
81092,10
81108,9
81196,10
81207,10
81216,10
81223,10
81293,9
81356,2
81375,5
81441,2
81448,5
81474,3
81526,10
81537,10
81538,10
81551,10
81633,5
81634,5
81715,3
81742,5
81745,5
81763,7
81766,5
81803,5
81809,5
81811,6
81815,4
81848,4
81881,1
81907,3
81929,5
81931,6
81932,7
81942,6
81948,7
81963,4
81966,7
81981,5
81988,5
82013,5
82050,5
82083,3
82104,4
82108,12
82110,12
82111,7
82113,15
82114,7
82115,8
82117,12
82118,6
82119,8
82121,6
82123,9
82127,12
82128,7
82130,6
82151,10
82152,10
82170,26
82189,26
82202,10
82204,26
82205,26
82219,26
82239,10
82251,26
82266,26
82272,10
82295,26
82300,10
82312,26
82322,26
82332,26
82335,10
82344,26
82364,10
82374,26
82387,26
82402,26
82405,26
82435,26
82455,5
82460,5
82481,1
82495,3
82517,5
82519,6
82703,5
82806,5
82829,5
82836,2
82844,1
82855,4
82973,11
82998,12
83025,2
83103,7
83169,3
83177,15
83189,6
83201,14
83202,15
83203,9
83207,3
83462,10
83474,12
83502,12
83554,14
83595,8
83600,5
83606,9
83609,10
83658,2
83663,5
83684,15
83691,15
83702,7
83714,5
83737,7
83739,4
83752,17
83759,8
83811,26
83835,26
83886,5
83937,3
83955,17
84004,26
84070,26
84072,7
84091,5
84095,4
84098,5
84107,5
84108,4
84109,4
84112,2
84113,5
84115,3
84116,3
84117,1
84118,3
84119,3
84120,5
84122,3
84123,2
84125,3
84135,17
84137,21
84139,17
84144,17
84146,26
84160,1
84167,14
84169,2
84293,17
84297,17
84306,17
84323,17
84336,17
84341,7
84347,12
84354,17
84416,6
84424,11
84463,26
84479,4
84487,11
84525,15
84527,21
84529,4
84530,14
84535,14
84537,2
84548,12
84565,7
84576,8
84577,5
84580,3
84583,21
84588,21
84754,17
84786,26
84788,26
84863,6
84864,12
84897,26
84898,5
84899,26
84914,26
84919,5
84930,21
84936,5
84937,26
84954,21
84956,26
84969,21
84984,21
84988,26
85002,21
85015,21
85016,4
85028,26
85029,21
85042,26
85057,21
85080,21
85083,26
85102,11
85104,26
85106,21
85121,21
85131,5
85151,21
85215,11
85249,7
85259,6
85264,6
85270,10
85271,15
85272,6
85276,6
85277,4
85288,4
85289,7
85291,4
85293,6
85296,4
85314,7
85324,12
85336,7
85342,15
85379,26
85381,5
85392,26
85396,5
85419,26
85436,21
85450,21
85462,21
85472,26
85483,21
85493,21
85503,26
85504,21
85531,21
85550,26
85552,21
85571,21
85653,4
85659,3
85662,4
85751,17
85758,7
85777,10
85806,3
85817,1
85818,15
85820,15
85909,5
85927,3
85964,26
85965,26
85974,10
85984,12
85985,12
86024,11
86048,6
86074,10
86095,5
86289,3
86507,27
86508,27
86511,27
86515,27
86516,27
86522,16
86528,16
86533,16
86538,16
86544,16
86559,27
86700,27
86720,15
87227,5
87299,9
87416,5
87489,9
88588,15
88610,12
89857,27
89866,15
89941,4
89960,7
89969,10
89975,6
89978,4
89984,8
90003,7
90029,9
90033,10
90139,9
90140,7
90145,3
90146,7
90153,10
90159,3
90162,9
90164,6
90165,12
90166,4
90169,9
90170,9
90172,4
90175,4
90182,10
90186,4
90194,9
90201,9
90205,7
90212,8
90241,8
90297,27
90300,27
90598,11
90806,9
90905,10
90921,10
91146,5
91811,15
91828,6
91887,26
91937,10
91964,26
91998,10
92010,26
92030,26
92062,10
92072,26
92100,26
92158,5
92217,6
92553,4
93288,5
93339,5
93362,7
93922,17
94189,7
94912,4
94920,4
