value,count
"[{""1713-1763"" : ""Grande-Bretagne""},{""1763-1815"" : ""France""}]",5
"[{""1749-1783"" : ""Grande-Bretagne""},{""1783-1815"" : ""Etats-Unis d'Amérique""}]",27
"[{""1749-1793"" : ""Pologne""},{""1793-1806"" : ""Prusse""},{""1807-1813"" : ""Dantzig""},{""1814-1815"" : ""Prusse""}]",5
"[{""1749-1794"" : ""Autriche""},{""1795-1815"" : ""France""}]",17
"[{""1749-1794"" : ""France""},{""1794-1802"" : ""Grande-Bretagne""},{""1802-1810"" : ""France""},{""1810-1815"" : ""Grande-Bretagne""}]",1
"[{""1749-1794"" : ""Provinces-Unies""},{""1795-1805"" : ""République batave""},{""1806-1810"" : ""Royaume de Hollande""},{""1811-1813"" : ""France""},{""1814-1815"" : ""Royaume uni des Pays-Bas""}]",41
"[{""1749-1803"" : ""France""},{""1804-1815"" : ""Haïti""}]",2
"[{""1749-1810"" : ""Brême""},{""1810-1813"" : ""France""}]",6
"[{""1749-1810"" : ""Hambourg""},{""1810-1813"" : ""France""}]",7
"[{""1749-1810"" : ""Lubeck""},{""1810-1813"" : ""France""}]",9
"[{""1749-1815"" : ""Danemark""}]",58
"[{""1749-1815"" : ""Espagne""}]",14
"[{""1749-1815"" : ""France""}]",13343
"[{""1749-1815"" : ""Grande-Bretagne""}]",112
"[{""1749-1815"" : ""Mecklenbourg""}]",1
"[{""1749-1815"" : ""Portugal""}]",6
"[{""1749-1815"" : ""Prusse""}]",20
"[{""1749-1815"" : ""Russie""}]",2
"[{""1749-1815"" : ""multi-Etat""}]",11
"[{""1749-1815"" : ""zone maritime""}]",64
vide,78
