value,count
 -1.1089594426355542,1
 -1.204802,8
 -1.702029,2
 -3.420477,4
 -3.457222,1
 -4.525466,1
 -60.270683,1
 -60.873346,1
-0.1,45
-0.233333,112
-0.333333,8
-0.35,64
-0.45,3
-0.483427,1
-0.566667,516
-0.633333,6
-0.65,4
-0.666667,5
-0.683333,50
-0.7,1
-0.783333,18
-0.8,1
-0.9,1312
-0.935826,470
-0.937643,7
-0.959895,1
-0.97043,561
-0.995682,955
-1,43
-1.033333,33
-1.05,3
-1.066667,15
-1.083333,40
-1.095572,3
-1.1,1
-1.116667,1645
-1.133333,39
-1.142263,3
-1.15,1950
-1.15325,14
-1.166667,8
-1.175,1
-1.2,74
-1.243436,100
-1.25,114
-1.266667,1
-1.3,413
-1.328716,227
-1.366667,567
-1.374028,208
-1.383333,73
-1.4,4
-1.416667,201
-1.433333,31
-1.449444,3
-1.468742,3
-1.483333,86
-1.5,2
-1.516667,337
-1.55,398
-1.597853,32
-1.615534,9
-1.616667,2
-1.618967,1
-1.619444,6
-1.654143,3
-1.683333,1
-1.747778,8
-1.783333,324
-1.945124,130
-1.95,1
-1.952934,7
-1.983333,3
-1.998682,109
-14.263916,1
-17,2
-2,2
-2.016667,30
-2.05,128
-2.083333,30
-2.1,11
-2.122107,2
-2.191667,6
-2.25,306
-2.333333,31
-2.341046,97
-2.483333,2
-2.516667,100
-2.583333,3
-2.6,7
-2.760172,19
-2.783333,6
-2.8,1
-2.893367,9
-2.916667,1
-2.917049,6
-2.918172,5
-2.924252,5
-2.95,8
-2.966667,1
-2.978725,4
-2.983333,12
-3.083333,3
-3.116667,44
-3.166667,1
-3.183333,22
-3.283333,5
-3.355494,3
-3.366667,33
-3.533664,1
-3.55,1
-3.583333,4
-3.804444,2
-3.813171,343
-3.826103,12
-3.916667,2
-3.983333,1
-4,1
-4.099817,7
-4.116667,1
-4.138611,2
-4.2,1
-4.208333,1
-4.216667,2
-4.25,3
-4.311667,1
-4.333333,1
-4.483333,32
-4.75,1
-4.8,1
-5.547778,1
-51.943359,37
-56,1
-56.333333,5
-61,1
-7.129555,3
-70.296478,1
-70.66309,3
-70.858755,1
-70.87744007,4
-71.058311,8
-71.466293,1
-72.204167,2
-72.683333,1
-74.004707,1
-75.164452,2
-76.08717906,2
-76.612873,2
-77.065108,2
-8.495833,3
-8.9,1
-9.048889,1
-9.133333,1
0.133333,35
0.231886,197
0.366667,1
0.733333,12
1.083333,58
1.147613,3
1.366667,5
1.616667,19
1.633333,51
1.65,19
1.833333,26
10,11
10.323,2
10.669167,1
10.7,9
10.95,1
11.383333,5
12.466667,1
12.583333,1
13.791503,2
14.550648,3
18.493651,27
18.666667,5
19.403543,1
19.909167,1
2.116667,60
2.169399,1
2.366667,169
2.916667,14
20.5,13
21.148453,2
24.1,2
3.233333,3
3.683333,1
3.916667,2
4.433333,1
4.5,7
4.666667,5
4.916667,21
5.324722,17
5.4,2
5.416667,4
5.708671,1
5.75,14
55.485992,1
57.556457,1
6.683333,1
6.8,1
7.183333,2
7.75,1
7.996559,8
8.333333,1
8.8,6
9.314575,10
vide,77
