value,count
Allemagne,3
Angleterre,84
Bayonne,16
Danemark,21
Dunkerque,33
Espagne et ses colonies,19
Guinée et Sénégal,1
Hollande,108
Lorient,22
Marseille,60
Petites Îles,356
Portugal,2
Prusse,19
Russie,14
Saint-Domingue,45
Suède et ses colonies,9
Sénégal,150
Villes hanséatiques,40
vide,9
États de l'Empereur,12
États-Unis d'Amérique,12
Îles françaises de l'Amérique,27
