value,count
Apple,3
Ashes,8
Bacon,2
Ballast,49
Barley,6
Brandy,47
Broad bean,16
Butter,9
Cask (empty),21
Charcoal,4
Cheese,2
Cherry,2
Coal,12
Coastal fishing,52
Coastal tramping,13
Earth coal,2
Earthenware,4
Empty,219
Faggots,97
Firewood,93
Fishing (cod),12
Fishing (pilchard),10
Fishing implements,18
Flour,10
Fodder,6
Food,18
Garlic,14
Glass (broken),2
Grain,4
Hemp,3
Hoop wood,8
Hoops,2
Iron (scraps),3
Lentils,4
Lime,5
Linseed,2
Mixed breverage (generic),3
Mustard,2
Oats,4
Onions,6
Oysters,2
Peat,3
Personal Cloth,2
Pilchard,10
Plank,33
Resin,3
Sail,2
Sailor's belongings,2
Salt,94
Salted food products,7
Shallot,12
Ship planking,2
Slate,3
Soda,4
Stave wood,18
Stone,6
Sugar,4
Sundries,24
Sundries (allowed),22
Tar,2
Tile,3
Timber,27
Tow,2
Vinegar,13
Walnuts,2
Wheat,39
Windmill blade,2
Wine,130
Wood,41
Wool,3
vide,12515
