value,count
Aimable Bristol,3
Aimable Bristolle,3
Aimable Denise,49
Aimable Marie,12
Aimable Suzanne,4
Aimable Veronique,5
Aimable Véronique,5
Angelique,210
Angélique,168
Bien Aimé,15
Bien Faisant,26
Bienfaisant,22
Cathérine,1
Commerce,272
Concorde,1
Coquille,12
Davisard,15
Davizard,210
Deux Amis,99
Deux freres,15
Deux frères,5
Don de Dieu,20
Dromadaire,90
Duchesse de Chartre,5
Duchesse de la Chatre,10
Engelique,42
Espion,420
Espérance,3
Eugene,12
Folie,240
Folie d' Aligre,16
Francoise,84
Françoise,60
Grâce de Dieu,5
Harriot,1
Hiver,3
Hyver,3
Jeane,11
Jeanne,88
Jeanne Marie,2
Jeune,11
Jeune Flore,3
Jeune Flore Adelaide,3
Jeune Joseph,100
Jeune Marie,2
Joseph Marie,4
Judith Marie,9
Julie,154
Jullis,28
La Duchesse de la Charte,5
La Julie,14
Lexpion,21
Marguerite,32
Margueritte,2
Marguérite,2
Marianne,577
Mariannes,26
Marie,23
Marie Anne,99
Marie Francoise,22
Marie François,12
Marie Françoise,254
Marie Helaine,9
Marie Helenne,26
Marie Héléne,4
Marie Jean,14
Marie Jean François,9
Marie Jeanne,36
Marie Jeanne Françoise,40
Marie Joseph,91
Marie Louise,81
Marie Madelaine,378
Marie Madelame,54
Marie Madeleine,45
Marie Madgelaine,9
Marie Magdeleine,225
Marie Magdelenne,54
Marie Magdeline,27
Marie Olive,30
Marie Sainte Anne,15
Marquis de Vaudeems,5
Marquis de Veaudoins,5
Marquis de Verdens,5
Pilote des Indes,8
Prosperité,3
Prospérité,3
Providence,6
Robuste,25
Roi David,4
Saint Anne,12
Saint François,7
Saint Gilles,12
Saint Helaine,10
Saint Hilaire,15
Saint Jacque,24
Saint Jacques,108
Saint Jean,157
Saint Jean Baptiste,20
Saint Louis,758
Saint Nicolas,572
Saint Nicollas,104
Saint Pierre,12
Saint Sauveur,35
Saint Ustélle,5
Saint Vincent,12
Sainte Anne,526
Sainte Helaine,2
Sainte Helainne,2
Sainte Heleine,2
Sainte Jeanne,9
Sainte Marie,46
Sainte Urstele,5
Sainte Ustelle,15
Sauterelle,9
Sauvé,36
Sultan,48
Sultane,8
Talarin,1
Temple de Salomon,3
Trois Freres,20
Vendangeur,4
Ville de Cadix,4
