value,count
Articles manufacturés divers n.d.a,46
"Articles minéraux non métalliques manufacturés, n.d.a.",30
Autres filés ou tissés,5
Autres filés ou tissés mélangés de fibres végétales dont toiles,28
Autres produits alimentaires et animaux,186
Boissons et tabac,113
Combustibles,16
"Cuirs, peaux et produits dérivés hors sellerie",25
Divers incertains et inconnus,2
Divers mélangés,41
Filés ou tissés de coton,53
"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",36
Filés ou tissés de laine et de poil,26
Filés ou tissés de soie et soie mélangée,11
"Huiles, graisses et cires d'origine animale et végétale",27
Machines et moyens de transport y compris sellerie,20
Matières brutes non-comestibles non transformées n.d.a.,121
"Métaux, produits métalliques et outils",93
Papier,5
Produits agricoles alimentaires des régions de colonisation européenne,26
Produits chimiques transformés n.d.a.,55
"Produits du bois, liège, jonc",97
