value,count
Abbeville,12
Aber-Ildut,87
Aber-Wrac'h,2
Amsterdam,66
Angleterre,2
Appledore,2
Arendal,2
Argenton,36
Ars-en-Ré,332
Arzon,244
Audierne ,2
Auray,8
Avallon,18
Baden,160
Barfleur,2
Barnstable,2
Bayonne,14
Beauvoir-sur-Mer,2
Belle-Île-en-Mer,112
Bergue ,34
Bideford,4
Billiers,2
Binic,6
Blaye,8
Bordeaux,154
Boston,15
Boulogne-sur-Mer,16
Bourcefranc ,78
Bourgneuf,32
Brest,70
Bristol,8
Brouage ,40
Brême,11
Caen ,4
Camaret,14
Carmarthen,2
Carnac,205
Caroline,2
Carteret,10
Cavernes,26
Chaillevette,12
Cherbourg,46
Chichester,2
Christiania / Oslo,2
Concarneau,2
Cork,6
Courseulles,2
Cowes,2
Croix-de-Vie,19
Côtes de Bretagne,2
Dantzig ,14
Dartmouth,8
Dercie,86
Dieppe,58
Dort,2
Douarnenez,10
Dublin,2
Dundee,2
Dunkerque,26
Emden,8
Erquy,16
Esnandes,14
Espagne atlantique,4
Exeter,2
Farsund,2
Flekkefjord ,4
Fouras,13
Frederikshald / Halden,13
Frise,12
Fécamp,16
Galway,2
Georgetown,4
Gloucester,6
Granville,61
Greenock,4
Groningue,8
Guernesey,10
Hambourg,24
Harlingen,4
Harwich,2
Hollande,4
Holmestrand,4
Honfleur,18
Hull,26
Ilfracombe,2
Ker Châlon,379
Kristiansand ,15
Kristiansund ,2
Königsberg / Kaliningrad,24
L'Houmée,42
La Couarde,14
La Flotte-en-Ré,268
La Hougue,2
La Rochelle,634
La Teste,47
La Tremblade,73
Landerneau,24
Lannion,13
Le Chapus,16
Le Conquet,258
Le Croisic,4
Le Faou,10
Le Havre,6
Le Légué,2
Leith,6
Les Sables-d'Olonne,386
Libourne,4
Liverpool,12
Locmariaquer,358
Loix,117
Londres,100
Lorient,128
Luçon,2
Lübeck,18
Mandal,3
Marans,793
Marblehead,2
Marennes,219
Marseille,2
Memel,8
Meschers,6
Middelbourg,4
Molde,4
Morlaix,24
Moss,2
Méan,215
Nantes,175
New York,2
Newburyport,8
Newcastle,30
Newton,2
Noirmoutier,456
Norden,2
Norfolk,2
Norvège,2
Oldenbourg,4
Oude Pekela,6
Ouessant,6
Paimpol,46
Penerf,2
Philadelphie,2
Plencia,12
Plouharnel,55
Plymouth,10
Pont-l'Abbé,4
Pontrieux ,8
Pornic,16
Port-Navalo,2
Port-d'Envaux,1238
Port-des-Barques,19
Portsmouth,4
"Portsmouth, VA,",2
Quiberon,400
Quillebeuf,4
Quimper,4
Regnéville,2
Rhuys,112
Ribnitz,4
Ribérou,18
Rochefort,38
Roscoff,2
Rostock,4
Rotterdam,10
Rouen,71
Royan,2
Saint-Brieuc,26
Saint-Denis d'Oléron,68
Saint-Gilles-sur-Vie,130
Saint-Jean-de-Luz ,4
Saint-Malo,421
Saint-Martin-de-Ré,449
Saint-Nazaire,2
Saint-Savinien,310
Saint-Servant,6
Saint-Trojan,4
Saint-Valery en Caux,8
Saint-Valery-sur-Somme,46
Saintes,2
Salem,2
Saltcoats,2
Sarzeau,18
Soubise,120
Southampton,2
Stavanger,21
Stettin,2
Sunderland,10
Sète,2
Taillebourg,178
Teignmouth,6
Tonnay-Charente,520
Topsham,4
Tréguier,10
Vannes,64
Waterford,2
Yarmouth,12
Zierikzee,4
l'Aiguillon,12
pas identifié,30
vide,370
Île-aux-Moines,86
île d'Aix,7
île d'Arz,56
île d'Oléron,1037
île d'Yeu,133
île de Bouin,95
île de Man,2
île de Ré,59
île-de-Bréhat,23
