value,count
SRID=3857;POINT(-100187.541713946 5772340.30235944),520
SRID=3857;POINT(-1007317.71572486 7033459.47516974),2
SRID=3857;POINT(-1031186.50698228 5331024.07518913),4
SRID=3857;POINT(-104175.673791106 5728499.48756628),18
SRID=3857;POINT(-104377.941305879 5733661.95812526),86
SRID=3857;POINT(-105753.516253609 5711177.16398138),6
SRID=3857;POINT(-108027.773450518 5771326.24839497),38
SRID=3857;POINT(-110838.813232027 5830564.61167064),793
SRID=3857;POINT(-11131.9490793267 6713200.05942485),100
SRID=3857;POINT(-111319.490793272 5769672.21543899),120
SRID=3857;POINT(-115030.103379887 5721784.01735672),2
SRID=3857;POINT(-116885.465332938 5737718.1425425),12
SRID=3857;POINT(-118740.82728599 5759008.19759113),40
SRID=3857;POINT(-120596.07791955 5772340.30235944),19
SRID=3857;POINT(-120596.07791955 5820502.80556371),14
SRID=3857;POINT(-120596.07791955 6580123.14046953),4
SRID=3857;POINT(-121958.517167369 5778587.75926855),13
SRID=3857;POINT(-123448.800464581 5739371.42492201),18
SRID=3857;POINT(-124306.801825653 5751018.49468951),219
SRID=3857;POINT(-126162.052459214 5743035.96255049),73
SRID=3857;POINT(-127156.135511997 5756344.59154954),78
SRID=3857;POINT(-128017.414412265 5563980.80064204),47
SRID=3857;POINT(-128017.414412265 5807098.06883828),634
SRID=3857;POINT(-128379.202757343 5756440.16322091),16
SRID=3857;POINT(-129872.776365317 5852757.63251075),2
SRID=3857;POINT(-130800.401682097 5782352.58033998),7
SRID=3857;POINT(-132105.511392157 5811436.58217566),42
SRID=3857;POINT(-133583.388951928 5753680.82478874),4
SRID=3857;POINT(-139149.363491592 6388747.31596597),2
SRID=3857;POINT(-141004.725444643 6377288.91771874),2
SRID=3857;POINT(-144715.338031255 5769672.21543899),1037
SRID=3857;POINT(-144715.338031255 5833927.92391379),12
SRID=3857;POINT(-144715.338031255 6580123.14046953),2
SRID=3857;POINT(-147911.988528876 5810601.51212958),268
SRID=3857;POINT(-152136.67452397 5812457.49134197),449
SRID=3857;POINT(-153991.92515753 5785692.46683019),68
SRID=3857;POINT(-153991.92515753 7344794.95990622),10
SRID=3857;POINT(-155847.287110582 5812457.49134197),14
SRID=3857;POINT(-155847.287110582 6603623.9066552),2
SRID=3857;POINT(-157702.649063633 5812457.49134197),59
SRID=3857;POINT(-157702.649063633 5817820.1662055),117
SRID=3857;POINT(-161351.368013366 7365856.63600237),6
SRID=3857;POINT(-165123.87423686 5385831.82660139),14
SRID=3857;POINT(-166979.236189911 6568397.78129306),12
SRID=3857;POINT(-168834.598142963 5815138.50230954),332
SRID=3857;POINT(-172545.210729575 5977511.62823253),175
SRID=3857;POINT(-172545.210729575 6277689.90851716),2
SRID=3857;POINT(-177872.182322506 6247452.45641603),61
SRID=3857;POINT(-179840.422239221 6384217.39149177),46
SRID=3857;POINT(-180275.681448221 7359548.37117425),30
SRID=3857;POINT(-184138.356459257 5371232.89529656),4
SRID=3857;POINT(-198519.72147484 5860839.8299478),386
SRID=3857;POINT(-198519.72147484 6340157.06792337),10
SRID=3857;POINT(-216530.213209774 5892899.39736539),130
SRID=3857;POINT(-217073.007046884 5893243.17652536),19
SRID=3857;POINT(-217399.618432871 5949422.64017935),32
SRID=3857;POINT(-222492.262497682 5938016.25239048),95
SRID=3857;POINT(-222587.774620781 6213036.7073175),6
SRID=3857;POINT(-222638.981586547 6982997.92038979),2
SRID=3857;POINT(-224494.343539599 6215681.04290064),421
SRID=3857;POINT(-228204.956126211 5928482.59752034),2
SRID=3857;POINT(-233770.930665874 5961137.93078956),16
SRID=3857;POINT(-243975.254428421 5991544.67224358),215
SRID=3857;POINT(-244902.879745201 5988444.47799811),2
SRID=3857;POINT(-250468.854284867 5942074.07243111),456
SRID=3857;POINT(-25974.510745268 5608411.93743074),4
SRID=3857;POINT(-259745.441411142 5895948.91981057),133
SRID=3857;POINT(-260604.048643629 5895934.79394361),379
SRID=3857;POINT(-274588.114396572 6212873.14808666),16
SRID=3857;POINT(-276443.365030132 6029566.26533785),2
SRID=3857;POINT(-280154.088936235 5991179.92465176),4
SRID=3857;POINT(-287575.314109459 6701282.86877362),8
SRID=3857;POINT(-289430.67606251 6351564.79996172),10
SRID=3857;POINT(-294996.650602174 6024072.11937378),2
SRID=3857;POINT(-306128.599681503 6193244.3085601),2
SRID=3857;POINT(-307260.941541851 6050053.92274881),64
SRID=3857;POINT(-307983.961634555 6026818.83849098),112
SRID=3857;POINT(-307983.961634555 6029566.26533785),18
SRID=3857;POINT(-309839.212268115 6193244.3085601),26
SRID=3857;POINT(-311694.574221166 6040565.20878006),56
SRID=3857;POINT(-315405.186807778 6207260.30817525),6
SRID=3857;POINT(-317260.54876083 6037814.118846),86
SRID=3857;POINT(-322088.141118062 6032155.24377141),244
SRID=3857;POINT(-324724.409299029 6032144.19361721),2
SRID=3857;POINT(-324849.421087188 6043945.5596327),160
SRID=3857;POINT(-328392.497840156 6035064.06965767),358
SRID=3857;POINT(-328423.555978089 5373732.69078122),12
SRID=3857;POINT(-330247.859793208 7658602.2929883),2
SRID=3857;POINT(-331590.150213193 7059506.14040087),12
SRID=3857;POINT(-332103.110426768 6051578.17667238),8
SRID=3857;POINT(-333958.47237982 6249447.75279128),23
SRID=3857;POINT(-339524.446919483 6235362.0079396),46
SRID=3857;POINT(-343235.059506098 6037814.118846),205
SRID=3857;POINT(-346945.783412201 6021326.27207829),400
SRID=3857;POINT(-346945.783412201 6040565.20878006),55
SRID=3857;POINT(-352511.757951864 6224110.13166009),8
SRID=3857;POINT(-352511.757951864 7548468.50234669),6
SRID=3857;POINT(-354367.008585424 5993916.2337604),112
SRID=3857;POINT(-359932.983125088 6238177.18370221),10
SRID=3857;POINT(-37106.4598245946 7116677.98775081),26
SRID=3857;POINT(-374775.656110517 6065364.06159726),128
SRID=3857;POINT(-384052.243236793 6565469.00267529),4
SRID=3857;POINT(-384856.192599302 7555322.10641054),2
SRID=3857;POINT(-385907.605189844 6229734.12040388),13
SRID=3857;POINT(-38961.8217776462 6306026.61495135),4
SRID=3857;POINT(-393365.677114522 6572049.00938503),2
SRID=3857;POINT(-398894.804902734 6507111.76723892),8
SRID=3857;POINT(-424480.254027679 6053996.01520371),2
SRID=3857;POINT(-425919.837682617 6203040.61605563),24
SRID=3857;POINT(-436001.37604682 6084701.56986364),2
SRID=3857;POINT(-443422.601220043 6229734.12040388),2
SRID=3857;POINT(-456389.540785605 6106292.37538543),4
SRID=3857;POINT(-458265.274205473 6659709.46553708),2
SRID=3857;POINT(-460708.069111441 6515208.54792157),10
SRID=3857;POINT(-465686.499378697 6156910.05535862),10
SRID=3857;POINT(-467541.861331748 6630142.9139818),2
SRID=3857;POINT(-469397.2232848 6624242.45176741),4
SRID=3857;POINT(-469842.501247975 6084527.00700973),4
SRID=3857;POINT(-473107.835871412 6182047.99917679),24
SRID=3857;POINT(-479972.57491016 6774700.9891536),2
SRID=3857;POINT(-482384.42299769 6123507.42497748),10
SRID=3857;POINT(-48887.8468132109 5610221.8173603),26
SRID=3857;POINT(-499082.34661668 6173660.45196293),70
SRID=3857;POINT(-50093.7708569728 6331611.46491534),2
SRID=3857;POINT(-503772.570722274 7212286.77696484),2
SRID=3857;POINT(-504648.321156343 6109628.07785522),2
SRID=3857;POINT(-508359.045062446 6207260.30817525),2
SRID=3857;POINT(-512069.657649058 6154121.4586696),14
SRID=3857;POINT(-528767.581268051 6184845.73925701),87
SRID=3857;POINT(-528767.581268051 6193244.3085601),36
SRID=3857;POINT(-528767.581268051 7545155.57285505),4
SRID=3857;POINT(-530622.943221102 6168073.38891215),258
SRID=3857;POINT(-534333.555807714 7482480.31321605),2
SRID=3857;POINT(-565874.041092642 6182047.99917679),6
SRID=3857;POINT(-63081.081889351 5595321.22954371),154
SRID=3857;POINT(-695623.141503689 7044843.46144253),2
SRID=3857;POINT(-70502.3070625775 5740376.6555565),2
SRID=3857;POINT(-72357.669015629 5753680.82478874),178
SRID=3857;POINT(-74213.0309686805 5642536.51871322),8
SRID=3857;POINT(-76068.2816022408 5753680.82478874),1238
SRID=3857;POINT(-76068.2816022408 5761672.92206569),310
SRID=3857;POINT(-7825368.13552056 5119140.72463969),2
SRID=3857;POINT(-7866179.19667926 5253872.34341505),6
SRID=3857;POINT(-7887960.52484533 5236247.91896057),2
SRID=3857;POINT(-7890040.53732317 5283459.29850795),8
SRID=3857;POINT(-7892240.98190531 5239362.72065077),2
SRID=3857;POINT(-7910174.99715007 5214251.27094408),15
SRID=3857;POINT(-793658.432182639 6846946.10105169),2
SRID=3857;POINT(-8238166.29954541 4970875.82682032),2
SRID=3857;POINT(-8367268.52239545 4858971.96867438),2
SRID=3857;POINT(-8492166.54203671 4418083.10358508),2
SRID=3857;POINT(-8493459.62924176 4416542.97414922),2
SRID=3857;POINT(-8578848.58048863 4708363.29660871),4
SRID=3857;POINT(-8715009.3496109 3979498.21531543),2
SRID=3857;POINT(-87200.2306815675 6591865.04360482),2
SRID=3857;POINT(-945751.803424689 6781813.74302385),6
SRID=3857;POINT(1113194.90793273 7085388.16549508),24
SRID=3857;POINT(1113194.90793273 8859142.8005657),2
SRID=3857;POINT(1149151.10345896 8286410.11974425),4
SRID=3857;POINT(1187686.2376284 8275371.97663222),2
