value,count
SRID=3857;POINT(1191118.55148803 7144944.95127573),18
SRID=3857;POINT(1196684.52602769 8381208.03903953),2
SRID=3857;POINT(120596.07791955 6348711.37099131),71
SRID=3857;POINT(120596.07791955 6434738.28597906),58
SRID=3857;POINT(1267186.83309027 8212878.51454409),13
SRID=3857;POINT(1350676.45118522 7185954.39030461),4
SRID=3857;POINT(1387783.02232931 7217646.19816025),4
SRID=3857;POINT(144715.338031255 6791089.85724533),2
SRID=3857;POINT(14842.5616659385 6360130.74092142),6
SRID=3857;POINT(1619770.72607216 7062372.46385457),2
SRID=3857;POINT(179966.547222289 6571327.60099272),16
SRID=3857;POINT(181821.79785585 6478086.63255543),46
SRID=3857;POINT(204085.696014506 6463612.12425767),12
SRID=3857;POINT(2077963.8652476 7236722.75307758),14
SRID=3857;POINT(2282049.56126211 7305785.23446007),24
SRID=3857;POINT(2354235.01902548 7499435.53309545),8
SRID=3857;POINT(25813.4314420877 6346457.49333495),18
SRID=3857;POINT(263456.165317245 6630142.9139818),26
SRID=3857;POINT(402267.340195807 6710206.02920427),4
SRID=3857;POINT(40817.1837306977 6403092.28842494),16
SRID=3857;POINT(410026.753982061 5373055.47188349),2
SRID=3857;POINT(436001.37604682 6737086.69550241),4
SRID=3857;POINT(500937.708569731 6785071.7814768),10
SRID=3857;POINT(547320.866840092 6863659.03971489),66
SRID=3857;POINT(57515.1073496877 6354419.19923985),4
SRID=3857;POINT(592745.341655741 8487333.99003243),34
SRID=3857;POINT(601125.250283677 5357746.9581782),2
SRID=3857;POINT(602980.612236728 7016981.82434516),4
SRID=3857;POINT(640087.072061323 6891041.72389158),4
SRID=3857;POINT(640087.072061323 8173185.830763),21
SRID=3857;POINT(649363.659187598 7013886.50491788),12
SRID=3857;POINT(697637.579009084 6840317.16770746),2
SRID=3857;POINT(729142.664695942 7023176.44531611),8
SRID=3857;POINT(743985.22636188 8027073.95876333),4
SRID=3857;POINT(756972.537394261 7984843.60705707),2
SRID=3857;POINT(780523.956783431 7003160.44117285),6
SRID=3857;POINT(799644.971758519 9035160.15735834),4
SRID=3857;POINT(801190.642888183 7094617.49292128),2
SRID=3857;POINT(803355.695664622 7051111.49512017),8
SRID=3857;POINT(81634.2561419041 6423216.85371095),8
SRID=3857;POINT(829330.206409888 7974323.0195509),3
SRID=3857;POINT(862726.05364787 9128915.25154853),2
SRID=3857;POINT(890172.875978368 7999693.00401053),15
SRID=3857;POINT(915037.754039409 7009007.68014033),4
SRID=3857;POINT(975900.906394194 8064635.53363549),2
SRID=3857;POINT(979611.518980809 6998427.17017151),11
vide,400
