value,count
Acier,2
"Alquifoux, mine de plomb et graphite",1
Alun,2
Animaux,9
Argenterie et orfèvrerie,2
"Armes, munitions, poudre et pierres à fusil",9
Azur et cobalt,1
Beurre,12
Bijouterie et pierres fines,1
"Bière, cidre et vinaigre",22
Blé et autres grains comestibles,37
Bois divers hors combustible,10
Bonneterie de soie,2
Bonneterie hors soie,4
Bouchons principalement en liège,2
"Bougies, chandelles et flambeaux",5
"Brai, goudron et résines",21
Bâtiments de mer et apparaux,11
Cacao et chocolat,2
Café,8
Cannelle,2
Chairs et œufs,13
Chanvre,8
Chapeaux hors paille et écorce,2
Chevaux et bêtes de somme,2
Châles et mouchoirs de soie,1
Châles et mouchoirs hors soie,11
Cire,2
Colles diverses,3
Combustibles dont charbons et bois,16
Cordage et filets,5
Cordonnerie et sellerie,2
"Cornes, corail, écailles, ivoire et nacre",2
Coton non transformé,6
"Cuirs, peaux et pelleterie",25
Cuivre,5
Céruse et blanc de plomb,5
Denrées coloniales et épiceries diverses,3
Divers incertains,2
Divers mélangés,29
Drogues diverses,6
Drogues médicinales diverses,2
Eaux-de-vie et liqueurs,54
"Farine, gruau, biscuits et pâtes",16
"Faucilles, faux et limes",1
Fer,5
Fer-blanc,9
Fils divers,3
Fleurs artificielles et ouvrages de mode,1
Fromage,8
Fruits frais,5
Fruits secs et noix,8
Gommes diverses,1
Graines de jardin,2
Graines diverses et mélangées,9
Graines grasses,3
Graisses diverses,11
Habits et lingerie,7
Huile d'olive à manger,6
Huile de poisson,2
Huiles diverses,6
Indigo,3
Laines non transformées diverses,1
Librairie,1
Lin,4
Légumes,5
Manne et médicaments,7
Marbre brut et ouvré,2
Matières brutes et transformées pour teinture,21
Matières premières diverses,19
Mercerie,8
"Meubles, glaces et miroirs",6
"Mousseline, basin et nankin",7
Métaux divers et mélangés,3
Objets d'art et d'histoire naturelle,4
"Ouvrages de bois, liège et jonc",94
Ouvrages divers et mélangés,14
Ouvrages métalliques,42
Papier,5
Parfumerie et toilette,2
Plomb,3
Poils et crin,1
Poivre et piment,4
"Porcelaine, poterie, faïence et ouvrages de terre",18
Produits inconnus,1
Pêche et fruits de mer,19
Quincaillerie,16
Quinquina,3
Riz,8
Rocou,2
Rubanerie et passementerie diverse,1
Réglisse,1
Salpêtre et soufre,2
Salsepareille,1
Savon,6
Sel,29
Sirop et mélasse,3
Soieries diverses,1
Subsistances diverses et mélangées,12
Sucre,12
Séné,1
Textiles manufacturés divers et mélangés,1
Thé,1
Toiles de chanvre et de lin,35
Toiles de coton,38
Toiles diverses,22
Verrerie,9
Vin de liqueurs,1
Vins de Bordeaux,1
Vins divers,49
Étain,1
Étoffes de laine,28
Étoffes de soie,9
Étoffes diverses,3
