value,count
0000138N,1
0000212N,20
0000275N,3
0000666N,28
0000671N,12
00007155,1
0000758N,12
0001131N,20
0001177N,6
0001236N,56
0001398N,9
0001789N,4
0001810N,8
0001908N,1
0001911N,1
0002061N,6
0002637N,12
0002642N,6
0002881N,6
0003233N,12
0003475N,20
0003519N,4
0003553N,49
0003554N,272
0003812N,6
0003823N,4
0004284N,49
0004361N,81
0006298N,56
0006317N,6
0006318N,6
0006325N,196
0006350N,1
0006395N,4
0006492N,676
0006507N,420
0006614N,25
0006648N,144
0006791N,15
0006800N,25
0007076N,15
0007077N,30
0007079N,225
0007099N,4
0007115N,81
0007275N,12
0007343N,20
0007461N,25
0007466N,4
0007548N,100
0007592N,20
0007600N,4
0007611N,9
0007677N,441
0007723N,25
0007760N,676
0007773N,1
0007891N,132
0007987N,9
0008438N,64
0008439N,6
0008440N,12
0008446N,90
0008447N,210
0008509N,10
0008579N,110
0008643N,90
0008973N,20
0009352N,1
0009418N,20
0009535N,12
0009536N,42
0009537N,81
0009541N,30
0009544N,81
0009545N,30
0009547N,12
0009687N,144
0010484N,9
0010538N,8
0010866N,2
0012747N,18
0012865N,49
0012946N,90
0013105N,12
0013176N,36
0013346N,6
0014076N,2
0017792N,3
0018757N,1
0020967N,36
0020979N,1
0020999N,36
0021001N,49
0021027N,42
0021050N,16
0021173N,16
0021197N,1
0021200N,4
0021214N,1
0021256N,16
0021480N,100
0021485N,20
0021539N,2
0021541N,729
0021542N,729
0021543N,256
0021551N,9
0021554N,4
