value,count
1275,27
1287,21
1289,3
1292,27
1296,5
1343,10
1478,8
1480,27
1496,3
1540,10
1578,7
1582,4
1586,6
1592,2
1597,17
1630,17
1635,26
1642,1
1651,5
1652,4
1659,7
1661,3
1664,26
1668,5
1671,17
1674,12
1685,26
1688,21
1693,3
2206,20
2216,10
2236,20
2240,4
2243,10
2269,10
2289,2
2312,6
2326,5
2342,52
2350,5
2353,9
2363,8
2374,7
2399,3
2403,10
2407,26
2408,9
2415,26
2434,10
2455,8
2459,15
2465,14
2470,15
2471,14
2475,15
2479,15
2480,14
2486,12
2488,5
2492,5
2494,15
2497,14
2500,14
2514,5
2540,5
2545,8
2548,9
2563,12
2572,2
2573,12
2575,7
2580,30
2582,7
2583,8
2594,6
2598,8
2600,6
2601,26
2602,5
2603,26
2656,5
2672,1
2676,3
2686,26
2687,10
2690,23
2717,9
2719,2
2720,2
2768,5
2889,12
2896,26
2898,21
2899,52
2956,7
3009,9
3027,12
3028,7
3032,12
3069,1
3151,26
3388,4
3477,15
3617,18
3623,10
3698,18
3741,10
3746,4
3773,2
3774,8
3975,15
4821,1
4822,2
4824,2
4834,3
4837,2
5321,26
5347,4
5367,52
5379,26
5403,5
5421,12
5443,5
5486,3
5498,7
5505,26
5568,5
5680,21
5704,21
5707,26
5735,11
5742,26
5746,21
5780,12
642,20
644,7
6694,10
6704,10
6745,7
6755,5
6805,3
6840,26
6883,20
6892,5
6902,5
6919,52
6925,5
6963,7
6971,4
6979,5
6985,26
6987,11
7019,7
7034,52
7058,10
7089,5
7113,26
7143,5
7148,12
7149,3
7185,52
7215,6
7216,5
7250,20
7254,21
7256,21
7351,15
7356,7
7359,10
7361,8
7363,6
7371,6
7378,18
7384,20
7389,7
7400,12
7405,15
7407,12
7408,6
7410,9
7414,10
7415,6
7448,15
7461,26
7484,11
7502,21
7519,26
7521,3
7539,10
7552,6
7558,14
7563,1
7565,7
7569,3
7571,6
7572,20
7573,10
7581,12
7582,7
7585,12
7591,8
7594,2
7599,16
7603,6
7604,4
7605,15
7618,9
7624,10
7630,14
7631,12
7634,9
7635,9
7636,7
7637,6
7641,2
7642,4
7665,10
7670,8
7671,7
7678,7
7682,4
7684,32
7692,7
7693,9
7729,7
7730,3
7747,2
7786,5
7787,10
7789,5
7793,4
7796,6
7799,5
7801,26
7855,5
7872,52
7905,21
7939,21
7942,4
7975,26
7976,21
7978,6
8027,21
8029,3
8032,1
8034,21
8043,2
8045,21
8048,21
8051,15
8052,3
8053,5
8055,15
8061,14
8070,14
8084,24
8085,24
8110,17
8162,30
8179,12
8181,21
8193,2
8199,12
8233,21
8264,26
8279,21
8298,26
8303,5
8314,12
8318,5
8344,5
8356,26
8364,5
8380,4
8388,21
8397,5
8403,5
8404,26
8412,11
8438,21
8442,26
8452,17
8457,5
8458,14
8478,17
8483,10
8501,27
8508,30
8510,27
8531,54
8539,16
8552,12
8556,15
8560,15
8565,27
8567,27
8570,32
8590,27
8591,27
8596,24
8599,8
8628,10
8635,10
8674,3
8716,27
8720,12
8721,12
8723,21
8733,27
8740,14
8780,21
8802,14
8825,8
8826,26
8834,33
8837,3
8841,4
8845,21
8848,5
8858,12
8859,27
8868,14
8869,21
8903,6
8906,3
8914,70
8917,54
8930,21
8932,27
8933,14
8934,27
8937,27
8943,47
8946,54
8948,16
8953,4
8954,18
8957,12
8958,24
8959,8
8963,27
8965,7
8966,18
8967,18
8971,27
8972,8
8975,7
8979,8
8981,32
8983,3
8984,4
8985,8
8986,55
8987,6
8988,20
8991,27
8992,3
8996,12
9000,12
9001,8
9009,8
9016,6
9017,33
9021,26
9022,3
9023,17
9024,4
9029,54
9031,18
9040,12
9042,14
9053,6
9057,27
9069,2
9070,8
9071,8
9073,27
9074,26
9088,8
9092,21
9093,2
9097,26
9104,5
9107,15
9110,17
9112,7
9116,21
9121,3
9131,4
9134,21
9136,14
9146,21
9149,3
9152,8
9154,26
9163,27
9168,3
9170,16
9176,27
9190,54
9192,5
9197,27
9198,32
9201,26
9203,7
9210,1
9230,3
9231,26
9240,5
9241,4
9242,17
9244,17
9247,2
9248,21
9261,27
9265,21
9293,27
9299,26
9305,9
9306,27
9321,27
9326,17
9329,16
9340,27
9351,6
9353,2
9355,6
9360,16
9363,27
9366,8
9370,14
9383,3
9399,33
9403,10
9404,21
9413,9
9422,34
9423,4
9424,54
9450,12
9469,5
9475,21
9476,27
9484,3
9501,15
9502,21
9504,5
9505,3
9523,1
9527,26
9528,7
9534,21
9543,7
9579,21
9599,26
9619,4
9628,26
9636,17
9644,11
9645,5
9650,17
9651,21
9654,27
9658,5
9681,54
9685,30
9698,9
9703,15
9705,21
9710,21
9730,6
9735,14
9743,6
9751,10
9753,12
9754,27
9758,20
9760,9
9763,10
9771,9
9781,15
9785,11
9805,10
9815,27
9816,18
9818,14
9821,4
9824,8
9826,16
9828,12
9830,6
9834,14
9835,9
9837,4
9838,4
9839,6
9844,20
9846,9
9847,7
9848,4
9849,8
9860,10
9879,10
9892,10
9957,17
9958,10
9961,15
9966,6
9974,21
9976,4
9977,6
9979,4
vide,170
