value,count
10,9
102,14
103,30
105,7
107,8
108,15
11,125
110,176
112,53
115,40
116,9
122,36
123,59
129,10
13,99
130,258
138,5
141,1
143,5
145,193
15,2
150,47
153,9
159,18
16,108
162,17
1624,4
17,30
180,3
19,69
196,4
20,254
200,4
21,24
22,552
226,9
23,64
238,7
241,14
25,274
26,15
2920,2
30,212
32,20
33,92
34,50
36,7
368,21
39,127
390,1
41,99
424,5
460,6
464,23
478,3
481,4
488,10
493,1
50,110
52,52
521,8
522,8
525,2
527,9
534,7
548,14
557,57
57,5
59,15
61,5
70,34
748,4
76,16
85,10
87,15
90,3
92,8
94,3
98,18
vide,3718
