value,count
Alicante,3
Amsterdam,4
Ars-en-Ré,55
Arzon,7
Bayonne,17
Beauvoir-sur-Mer,12
Bordeaux,218
Boston,2
Boulogne-sur-Mer,7
Bourcefranc ,5
Bourgneuf,4
Brest,7
Britanny coast,832
Caen ,11
Calais,7
Champagné-les-Marais,52
Cherbourg,5
Dieppe,3
Dunkirk,59
Esnandes,176
Gloucester,1
Granville,1
Gravelines,14
Honfleur,30
Ker Châlon,15
La Flotte-en-Ré,70
La Perrotine,176
La Rochelle,1062
La Tranche-sur-Mer,8
La Tremblade,12
Le Château-d'Oléron,10
Le Croisic,97
Le Plomb,216
Les Sables-d'Olonne,50
Libourne,10
Locmariaquer,54
Lorient,1
Marans,1116
Marennes,319
Moricq,15
Morlaix,6
Nantes,86
Noirmoutier,14
Pertuis sea,8
Redon,19
Ribérou,240
Rochefort,224
Royan,4
Saint-Denis d'Oléron,114
Saint-Gilles-sur-Vie,4
Saint-Martin-de-Ré,432
Saint-Valery (undetermined),6
Saint-Valery en Caux,10
Saint-Valery-sur-Somme,17
Saintes,6
Seudre,35
Soubise,24
Taillebourg,26
Talmont,1
Tonnay-Charente,966
Vannes,21
Étaples ,3
île d'Oléron,177
île de Bouin,30
île de Ré,248
