value,count
"Aagaard, Laars",2
"Achevin, Martin",2
"Adelise, Piérre",2
"Adelize, Pierre",2
"Adrien, Daniel",14
"Adrien, Louis",4
"Adélise, Pierre",4
"Aguesse, Joseph",2
"Aillel, Jean",2
"Aillet, Jean",2
"Aillét, Jean François",2
"Aillét, Pierre",2
"Aio, Simon",2
"Alain, Vincent",2
"Alanioux, Georges",2
"Alder, Pierre William",2
"Alder, William",2
"Algant, Jean",2
"Algaud, Jean",2
"Alger, Jean",2
"Alin, Toussaint",2
"Alin, Toussaint Vincent",2
"Alin, Toussin Vincent",3
"Alister, Alexandre",2
"Allain, Jean",2
"Allain, Simon",2
"Allaire, Jean",6
"Allard, Jean",2
"Allard, Jean Baptiste",12
"Allazin, Jean Bertrand",2
"Allemand, Pierre",38
"Allemand, Vivien",46
"Allement, Vivien",2
"Allenet, Jean",59
"Allenet, Louis",12
"Allenot, Pierre",2
"Allenét, Jean",2
"Allet, Julien François",2
"Allune, Jean",2
"Alneau, Pierre",12
"Alneaud, Pierre",2
"Alnet, Jean",2
"Alnet, Pierre",3
"Altarin, Jacques Bertrand",2
"Altazin, Jacques Bertrand",4
"Altenet, Jean",2
"Aluet, Louis",2
"Amelin, Jean",2
"Amelin, Louis",2
"Amestrong, Robert",2
"Amiaud, Paul",2
"Amice, Jullien",2
"Ancelin, Louis",24
"Anderson, Thomas",4
"Andie, Gilles",2
"Andre, Luc",2
"André, Jacque",16
"André, Jacques",22
"André, Louis",2
"André, Luc",2
"Angaud, C",2
"Angaud, Noël",4
"Angaud, Pierre",4
"Anger, Luc",2
"Anselin, Louis",2
"Ardelise, Pierre",2
"Aremoux, Pierre",2
"Armstrong, Robert",4
"Arnaud, Pierre",9
"Arnault, Pierre",2
"Arneau, Pierre",8
"Arnenes, Yve Marie",2
"Arnu, Jullien Jacob",2
"Arnuc, Julien Jacob",4
"Arteau, Pierre",1
"Asselin, Jean Pierre Germain",2
"Ates, Klaas",2
"Athawait, Abner",2
"Auber, Charles Anthoine",2
"Aubert, Charles",2
"Aubert, Charles Antoine",8
"Aubert, François",3
"Audaire, Charles",12
"Audaire, Francois",6
"Audaire, François",8
"Audaire, Jean",4
"Audaire, Pierre",10
"Audebaud, Pierre",2
"Audebeau, Pierre",10
"Audebeaud, Pierre",2
"Audein, Louis",2
"Audet, Gille",4
"Audet, Pierre",2
"Audic, Gilles",8
"Audin, Louis",28
"Audubon, Jean",1
"Augand, N.el",4
"Augand, Noël",2
"Augaud, Noel",2
"Augaud, Noël",2
"Auger, Louis",10
"Auger, Loüis",2
"Augé, Louis",6
"Augér, Luc",2
"Aukes Nordraver, Jean",2
"Auluis, Etienne",6
"Aunia, Etienne",2
"Aunis, Etienne",6
"Aunis, Jean",5
"Auroux <fils ainé>, Louis",1
"Auroux <fils ainé>, Louis ",1
"Auroux, Louis",5
"Auroux, Louis <fils ainé>",2
"Ausley, Thomas",2
"Autein, Etienne",2
"Autin, Etienne",2
"Autin, Pierre",3
"Aymon, Jean",4
"Ayrand, Jacque",2
"Ayraud, Jacques",2
"Ayrcaud, Jacques",2
"Ayreau, Jacque",12
"Ayreau, Jacques",2
"Ayreaud, Jacques",2
"Ayreaux, Jacques",2
"Ayveau, Jean",2
"Babin, Jacques",1
"Babin, Jean",2
"Babin, Pierre",1
"Backkér, Wiébes Attes",2
"Bagnettau, Josephe",2
"Bagousse, Gille",2
"Bagousse, Gilles",8
"Bagousse, Jean",2
"Baillet, Etienne",2
"Baillon, François",4
"Baillon, Jean",2
"Baireau, René",1
"Bakker, Jacob",2
"Balack, Francois Marie",2
"Balangé, Jean Baptiste",1
"Baleh, François Marie",2
"Balek, Johan Jacob",2
"Ballanger, Pierre",2
"Banier, André",2
"Baniere, André",2
"Banière, Etienne",2
"Banniere, André",4
"Banniere, Etienne",8
"Baptiste, Jean",2
"Baranger, François",6
"Baras, Francois",2
"Barbanson, Francois",4
"Barbanson, François",2
"Barbauson, Francois",2
"Barbediénne, Alexis",2
"Bargousse, Gilles",3
"Barnois, Jean",2
"Baron, Jacques",2
"Baron, Jean",6
"Baron, Thomas",2
"Barraud, Thomas",4
"Barraugé, Francois",2
"Barreau, Pierre",11
"Barreau, Thomas",16
"Barreaud, Thomas",4
"Barron, Jacques",2
"Barron, Jean",2
"Barré, Jean",19
"Barré, Jean Francois",2
"Barseau, Julien",2
"Barthel, Christian",2
"Barthelemy Vollet, Charles Jean",2
"Barthomé, Maurice",2
"Barzeau, Thomas",2
"Basin, Jacques Nicolas",2
"Bason, Jacques",2
"Basset, Jean",2
"Bassét, Philippe",2
"Bastera, Jean Baptiste",2
"Bastera, Jean Batiste",2
"Basterra, Jean Baptiste",2
"Batandeau, Jacque",1
"Batardeau, Jacques",2
"Baton, Etienne",2
"Batouil, François",2
"Baudet, Joseph",8
"Baudin, Jean",14
"Baudoin, Louis",4
"Baudouin, Louis",17
"Baudran, Pierre",6
"Baudris, Gilles",2
"Baudry, René",2
"Baufils, André",12
"Baufils, Celme",10
"Baufils, Etienne",2
"Baufils, Etienne Aimé",2
"Baugé, Alexis",4
"Baugé, Aléxis",4
"Baulieu, Jean Joseph",4
"Baulieu, Joseph",4
"Baulieu, Julien",2
"Bauron, Francois",14
"Bauron, François",2
"Bazielles, Nicolas",2
"Bazier, Jean Baptiste",2
"Bazin, Jean Baptiste Sylvestre",2
"Bazin, Nicolas",2
"Bearnais, Pierre",4
"Beau Fils, Etienne",2
"Beaufils, André",8
"Beaufils, Celme",2
"Beaulieu, Jean Joseph",2
"Beaulieu, Joseph",2
"Beaulieu, Mathurin",4
"Bechaud, Pierre",4
"Bechel, Jean",2
"Bedex, Etienne",5
"Begaud, Joseph",1
"Begaud, Mathieu",7
"Begaud, Matthieu",10
"Beleron, Guillaume",2
"Beliot, Michel",2
"Bell, Adam",2
"Bellado, Jean",2
"Bellard, Jean Baptiste",2
"Belleron, André",9
"Belleron, Girard",2
"Belleron, Guillaume",19
"Belleron, Guilliaume",2
"Belleron, Michel",8
"Bellerou, Michel",2
"Belliot, Michel",2
"Belludo, Jaques",2
"Benet, Simon Jude",2
"Benet, Simon Judes",2
"Bequer, Louis",2
"Beranger, François",2
"Berangé, François",2
"Berding, Herman",2
"Berenger, Jean Marie",2
"Berenger, Pierre",2
"Bergeron, André",2
"Bergey, Antoine",6
"Bergot, Joseph",6
"Berlleté, Michel",2
"Bermaud, Jean",1
"Bernard, Arnaud",2
"Bernard, Arneaud",2
"Bernard, François",13
"Bernard, Jean",4
"Bernard, Jean Baptiste",2
"Bernard, Jean Louis",4
"Bernard, Louis",2
"Bernaud, Jean Louis",1
"Bernois, Pierre",2
"Beron, Jean",2
"Berranger, François",2
"Berrnaud, Antoine",1
"Berthelé, Michel",2
"Berthelé, Paul",2
"Berthier, Vincent",4
"Berti, Vincent",2
"Bertier, Vincent",6
"Bertin, André",4
"Bertin, Nicolas",12
"Bertis, Nicolas",2
"Berton, Jean",4
"Berton, Pierre",2
"Bertou, Pierre",2
"Bertrand, Jacques",2
"Besnard, Francois",8
"Besnard, Jean Baptiste",2
"Besnard, Yves",8
"Beteau, Jean",2
"Beyaud, Matthieu",4
"Biclet, Pierre",2
"Bidault, Joseph",2
"Bideau, Joseph",1
"Bidet, Pierre",2
"Bidoue, Yves",2
"Bielet, Pierre",4
"Bigot, Jacques",2
"Bihau, François Marie",2
"Bihonneau, Jean",2
"Billard, Jean Baptiste",7
"Billard, Michel",2
"Billard, Michel Jean",2
"Billerion, Guillaume",2
"Billet, Pierre",2
"Biron, Jean",54
"Bisser, Dirk Hoclos",2
"Bithonneau, Jean",6
"Bithonneau, Jent",2
"Bithonneaux, Jean",2
"Bitonneau, Jean",4
"Bitou, André",1
"Bitouneau, Jean",2
"Bittonneau, Jacques",2
"Bize, Jean Baptiste",3
"Bizieu, Philipe",2
"Blaise, Jean Francois",2
"Blanchard, Antoine",26
"Blanchard, Pierre",48
"Blanck, Martein",2
"Blay, André",2
"Blay, Pierre Gabriel",2
"Blay, Piérre Gabriél",1
"Bleurisson, Michel",2
"Blois, Jacques",9
"Blois, Jaques",12
"Blois, Jean",6
"Blondel, Paul",10
"Blondél, Paul",2
"Blykens, Peter",2
"Bochet, Pierre",2
"Bochét, Louis François",2
"Bodard, Pierre Jacques",2
"Bodard, Simon",1
"Bodey, Etienne",2
"Boec, Thomas",2
"Bognetau, Josephe",2
"Bognetau, Pierre Martin",2
"Bogneteau, Pierre François",6
"Bognettau, François",2
"Bognettau, Pierre François",2
"Bognetteau, Pierre François",2
"Boguelau, Joseph",2
"Bogueteau, Pierre",2
"Boiderseau, Vincent",4
"Boidevin, Dujardin",2
"Boidresseau, Vincent",4
"Boiffié, Jean",6
"Boiffon, Jacques",2
"Boifié, Jean",22
"Boifié, Joseph",2
"Boifref, Jean",2
"Boimort, François",4
"Bois Robert, Jean",2
