value,count
-5680281600000,14
-5681059200000,10
-5681145600000,21
-5681404800000,2
-5681750400000,12
-5681836800000,27
-5682182400000,27
-5682355200000,45
-5682528000000,21
-5682614400000,14
-5682787200000,29
-5682873600000,17
-5683046400000,29
-5683132800000,16
-5683305600000,5
-5683392000000,21
-5683564800000,26
-5683737600000,12
-5683824000000,34
-5683996800000,5
-5684083200000,31
-5684428800000,36
-5684515200000,5
-5684688000000,11
-5685120000000,33
-5685379200000,27
-5685465600000,21
-5685552000000,30
-5685638400000,34
-5685724800000,15
-5685897600000,4
-5685984000000,36
-5686156800000,10
-5686243200000,26
-5686329600000,21
-5686416000000,26
-5686502400000,31
-5686934400000,12
-5687020800000,25
-5687452800000,38
-5687539200000,14
-5687712000000,26
-5687798400000,16
-5688057600000,10
-5688144000000,79
-5688230400000,9
-5688316800000,78
-5688403200000,41
-5688489600000,11
-5688576000000,36
-5688748800000,37
-5688835200000,7
-5688921600000,10
-5689008000000,66
-5689180800000,9
-5689267200000,16
-5689353600000,22
-5689440000000,45
-5689526400000,27
-5689612800000,11
-5689699200000,6
-5689785600000,44
-5689872000000,26
-5689958400000,42
-5690044800000,22
-5690131200000,30
-5690217600000,18
-5690390400000,41
-5690476800000,15
-5690563200000,58
-5690649600000,41
-5690736000000,26
-5690822400000,23
-5690995200000,21
-5691081600000,39
-5691168000000,64
-5691254400000,91
-5691340800000,9
-5691427200000,76
-5691513600000,10
-5691600000000,52
-5691686400000,35
-5691772800000,12
-5691859200000,32
-5691945600000,23
-5692032000000,63
-5692291200000,44
-5692377600000,83
-5692464000000,34
-5692550400000,18
-5692636800000,8
-5692809600000,86
-5692896000000,79
-5692982400000,3
-5693068800000,12
-5693155200000,11
-5693241600000,34
-5693414400000,11
-5693500800000,57
-5693673600000,53
-5693760000000,48
-5693846400000,46
-5693932800000,12
-5694019200000,30
-5694105600000,20
-5694192000000,47
-5694278400000,28
-5694364800000,9
-5694451200000,83
-5694624000000,47
-5694710400000,6
-5694796800000,27
-5695056000000,35
-5695142400000,6
-5695315200000,26
-5695401600000,34
-5695488000000,48
-5695660800000,3
-5695747200000,27
-5695833600000,21
-5695920000000,17
-5696092800000,21
-5696438400000,4
-5696524800000,26
-5696611200000,7
-5696956800000,1
-5697043200000,30
-5697129600000,58
-5697216000000,5
-5697302400000,8
-5697388800000,10
-5697475200000,21
-5697648000000,54
-5697734400000,47
-5697907200000,47
-5697993600000,5
-5698252800000,5
-5698339200000,27
-5698425600000,10
-5698598400000,9
-5698857600000,47
-5698944000000,23
-5699030400000,19
-5699116800000,54
-5699203200000,7
-5699376000000,2
-5699462400000,27
-5699721600000,19
-5699894400000,26
-5700067200000,18
-5700153600000,21
-5700412800000,76
-5700499200000,43
-5700844800000,18
-5700931200000,44
-5701017600000,26
-5701104000000,9
-5701276800000,26
-5701363200000,17
-5701449600000,37
-5701622400000,16
-5701708800000,33
-5701881600000,26
-5701968000000,26
-5702054400000,17
-5702140800000,68
-5702313600000,29
-5702572800000,34
-5702659200000,51
-5703091200000,55
-5703177600000,57
-5703264000000,21
-5703350400000,21
-5703523200000,21
-5703868800000,38
-5703955200000,58
-5704128000000,3
-5704300800000,62
-5704387200000,26
-5704473600000,76
-5704646400000,29
-5704905600000,27
-5704992000000,11
-5705078400000,8
-5705164800000,21
-5705251200000,35
-5705337600000,47
-5705424000000,21
-5705510400000,54
-5705596800000,34
-5705683200000,5
-5705769600000,41
-5706115200000,34
-5706288000000,29
-5706374400000,40
-5706547200000,3
-5706633600000,10
-5706720000000,9
-5706806400000,43
-5707065600000,21
-5707324800000,27
-5707411200000,6
-5707497600000,15
-5707584000000,26
-5707670400000,36
-5707929600000,10
-5708016000000,5
-5708102400000,17
-5708188800000,53
-5708275200000,41
-5708361600000,5
-5708534400000,33
-5708620800000,35
-5708707200000,56
-5708793600000,12
-5708966400000,7
-5709139200000,38
-5709225600000,35
-5709312000000,10
-5709398400000,3
-5709484800000,51
-5709571200000,7
-5710003200000,66
-5710089600000,44
-5710435200000,2
-5710694400000,6
-5711385600000,4
-5711558400000,22
vide,1097
