value,count
Beverages and tobacco,113
Coton threads and fabrics,53
Fuels,16
Leather products except saddlery,25
Linen threads and fabrics,36
Machines and transportation,20
Metal products,93
Mixed flows,41
Oils,27
Other foodstuff and live animals,186
Other industrial products,30
Other threads and fabrics,5
Other vegetal threads and fabrics,28
Paper products,5
Plantation foodstuff,26
Processed chemical products,55
"Raw materials, inedible, except fuels",121
Silk threads and fabrics,11
Various manufactures,46
Various uncertain and unknown,2
"Wood, cork and cane products",97
Wool threads and fabrics,26
