value,count
00000105,2
00000127,2
00000176,2
00000188,2
00000192,4
00000206,6
00000259,8
00000269,4
00000364,2
00000445,4
00000508,2
00000617,4
00000703,2
00000709,6
00000822,8
00000823,6
00000901,6
00001091,4
00001131,2
00001239,2
00001254,2
00001267,2
00001276,2
00001317,4
00001327,6
00001414,2
00001438,14
00001522,8
00001738,2
00001947,2
00001954,6
00001971,6
00002019,7
00002049,2
00002095,8
00002135,3
00002176,4
00002183,2
00002184,4
00002224,2
00002280,4
00002318,4
00002350,4
00002378,4
00002396,4
00002563,2
00002649,2
00002678,6
00002681,5
00002689,6
00002701,2
00002918,2
00002939,4
00003195,2
00003242,5
00003276,8
00003355,4
00003545,12
00003619,4
00003694,14
00003860,2
00003936,2
00003952,4
00004121,4
00004129,12
00004172,47
00004208,13
00004267,4
00004302,14
00004309,4
00004444,8
00005140,31
00006297,2
00006302,2
00006339,12
00006350,4
00006368,4
00006403,10
00006444,38
00006448,53
00006466,42
00006477,10
00006512,18
00006540,12
00006552,11
00006596,12
00006597,22
00006700,6
00006713,12
00006775,18
00006795,2
00006816,4
00006873,2
00006972,6
00007000,2
00007043,24
00007060,6
00007063,6
00007068,6
00007075,6
00007084,10
00007107,6
00007124,2
00007134,2
00007135,8
00007136,30
00007137,1
00007152,2
00007155,6
00007165,8
00007167,2
00007168,12
00007172,10
00007179,6
00007187,8
00007188,2
00007194,12
00007196,4
00007200,6
00007205,12
00007227,2
00007231,4
00007250,6
00007331,6
00007340,4
00007367,2
00007375,12
00007438,8
00007454,6
00007472,2
00007486,32
00007538,10
00007543,3
00007563,24
00007568,14
00007569,4
00007587,12
00007589,16
00007592,8
00007640,23
00007645,2
00007653,2
00007670,2
00007680,2
00007697,2
00007750,9
00007751,12
00007757,8
00007801,8
00007804,10
00007811,5
00007827,6
00007897,6
00007898,27
00007901,6
00007903,43
00007978,6
00007995,10
00007996,12
00007997,8
00008016,2
00008026,2
00008048,32
00008050,8
00008052,21
00008076,16
00008078,2
00008089,24
00008105,8
00008204,6
00008292,5
00008551,4
00008777,6
00008780,6
00008785,15
00008787,22
00008788,10
00008829,10
00008843,6
00008847,4
00008913,18
00008951,16
00008964,16
00009001,12
00009075,6
00009096,6
00009163,10
00009171,14
00009172,6
00009322,8
00009451,1
00009688,2
00009720,3
00009767,2
00009791,8
00009799,14
00009805,9
00009808,30
00009913,6
00009915,14
00009918,2
00009919,10
00009921,12
00009925,6
00009992,27
00010013,6
00010020,24
00010045,2
00010051,29
00010052,28
00010065,21
00010085,4
00010137,4
00010142,2
00010208,14
00010279,30
00010468,2
00010583,12
00010594,11
00010636,4
00010825,10
00010826,1
00010839,1
00010848,6
00011269,1
00011271,2
00011425,4
00011778,2
00011795,4
00011944,2
00012101,30
00012216,4
00012434,2
00012458,8
00012506,33
00012695,6
00012706,8
00012789,10
00012870,19
00012871,10
00013006,2
00013011,2
00013022,2
00013031,2
00013035,2
00013081,4
00013108,6
00013169,11
00013236,6
00013274,10
00013276,10
00013309,4
00013411,14
00013413,1
00013558,1
00013857,2
00013861,5
00013876,2
00017560,2
00018239,2
00018490,2
00018702,2
00019285,2
00021154,16
00021161,13
00021246,14
00021312,10
00021316,8
00021323,4
00021328,2
00021330,2
00021343,2
00021344,8
00021373,6
00021374,2
00021377,12
00021379,2
00021399,4
00021402,8
00021453,4
00021456,4
00021460,2
00021461,2
00021464,40
00021465,50
00021491,30
00021492,13
00021493,6
vide,11352
