value,count
100,4
1000,2
100157.8976769,1
100161.6,1
1003,1
10038,1
1005.0000201,1
1005.0000335,1
10062,1
1010,1
1015,1
10158,1
1016.5,1
1017.8,1
102.5,1
10238.97519520001,1
1024,1
1026,1
1035,1
1038452,1
1039,1
1039.999974,1
1044,2
10454.399637,1
10476,1
1048.94997003,1
105,1
1050,2
1055,1
106,1
106198,1
1063.50003545,1
1065,1
107.9999976,1
1073,1
108,2
10800,1
109,1
1098,1
10983.5,1
110,3
1100,1
1104,1
112,1
112.5,2
11215.74967955,1
1122,1
1126.79997496,1
1128,1
11280,1
11311.9997172,1
114,1
1144,1
11442.0003814,1
1152,1
11670,1
11688,1
117,2
1170,1
1172,1
1173,1
11760.000392,1
11772,1
1182.0000394,1
1188,1
119.999998,1
11900,1
11920,1
1193,1
1198,1
120,13
120.000004,1
120.000008,1
1200,4
12000,1
1204,1
12083.39964,1
1212.0000404,1
1215.0000486,1
122,1
1221,1
12226.00030565,1
1224,1
123,1
1230.7499453,1
1233.75,1
124,1
1240,1
12400,1
12430,1
1248,1
125,2
1254,1
1259.999972,1
1260,4
1260.000042,1
126012.5,1
12604,1
1267.5,1
126817,1
126997,1
1270,1
1273150,1
1279.79994312,1
128,1
12873.599553,1
12910,1
12948.0004316,1
129536.3485741997,1
1296,1
130,4
130.89999813,1
13093,1
13098.10124389998,1
131.9999956,1
1312,1
132,1
132.9999962,1
1320,1
13200,1
1338.0000446,1
13401,1
1344,1
135,2
1350,1
13500.0009,1
13543.80045146,1
1355,1
13599,1
1360,1
1361,1
1364.999961,1
13680,1
137,1
1370,1
1375,1
1375.2,1
137525,1
1377,1
137863,1
138,1
1380,1
1382.399952,1
1389,1
139482,1
1399.10003292,1
140,1
1400,2
14170,1
14186.9,1
14191.5,1
142,1
14209,1
1426.80009512,1
14261,1
1431,1
143136,1
1438.859976019,1
144,7
1462,1
14664,1
147964,1
1485,1
1490,1
149859,1
150,6
150.000005,2
1500,2
15120,1
15151.39233790997,1
1519,1
152,1
15203,1
153,2
153.60000512,1
15317.74956235,1
1539.999956,1
154,1
1540,1
1550,1
1562,1
1567,2
156750,1
157432.32,1
1575.44992998,1
15750.00105,1
1585.80007048,1
159,1
159.8976092440001,1
15906,1
160,2
160.000004,1
1600,2
1603,1
1604,1
1608,1
16080,1
16110,1
1614,1
161453,1
1616,1
1619,1
162.0000108,1
1620,2
16244,1
163.79999766,1
1639,1
1639.80005466,1
164,1
1647,1
1648.051248489999,1
165,3
1653,1
16590.001106,1
166,1
1664,1
167,1
1673,1
1676.5,1
168,2
16819,1
1684,1
168456,1
16984.769061548,1
170,2
170.4,1
1710,1
17100,1
17113.19137316001,1
17116.5,1
1722,1
1737.00006948,1
17376,1
174.999995,1
1745,1
17466.40043666,1
175,3
175.68,1
17570,1
176559.7421529,1
1767.5,1
177.60000444,1
178.4999949,1
180,7
180.0000045,1
180.000006,1
1800,5
181,1
1840,2
1844.46,1
1850,1
1855,1
18596,1
18650,1
187,2
187.50000625,1
1880.064035519998,1
1881,1
188167.2353106,1
1884,1
189,1
1899,1
190,1
1908,1
191,1
1910,1
192,3
1920354.29502,1
193563,1
1950,1
1960,2
19608.48,1
1962,1
1975,1
198,1
1980,2
1982,1
199,1
1991,1
19926.27,1
19944,1
1995,1
20,1
200,4
20013.6,1
202,1
2020,1
20277,1
204,1
204.80000512,1
2040.48,1
20424.95957879999,1
2043,1
2050,1
2054,1
2055.167933839999,1
2056,1
206605.8589567,1
20663.09908164,1
2068,1
208.1630103,1
2092,1
2093,1
21,1
210,4
210.000007,1
210.0000084,1
2100,2
2103.75,1
2105,1
211129.3325324001,1
2117,1
21199.80070666,1
212,1
2124.863897420001,1
21276,1
21303,1
21323,1
2137.2,1
21372.48,1
2145,1
21502,1
21568,1
216,1
2160,2
2172,1
2180,1
219,1
220,2
220.0000055,1
2220,1
223,1
224,1
2240,1
225,3
2252.5,1
22588,1
2260,1
22680,1
227277.5,1
