value,count
Abbeville,1
Amienois,1
Amiens,1
Amiénois,1
Angoumois,21
Aunis,122
Bordeaux,2
Bretagne,50
Carcassonne,1
Champagne,7
Colonies françaises,3
Colonies françaises de l'Amérique,8
Elbeuf,1
Etranger,4
Flandre,3
Flandres,6
Foret,1
France,1
Guyenne,34
Hainault,1
Ile de France,3
Iles Françaises,1
Indes Cnie Française,5
Isle de France,1
Languedoc,5
Levant,1
Lyonais,2
Lyonnais,4
Maine,7
Marseille,6
Nivernais,1
Normandie,27
Orléanais,1
Pays des Basques,6
Poitou,74
Pêches Françaises,3
Quercy,3
Saintonge,73
Sardaigne,1
Sedan,1
Touraine,6
amienois,1
anjou,8
maine,2
vide,496
Étranger,51
étranger,4
