value,count
Ail,14
Ardoises,3
Avoine,4
Beurre,9
Blé,23
Bois,41
Bois de construction,27
Bois merrain,18
Bois à brûler,93
Bordage,2
Cendre,8
Cercles,2
Chanvre,3
Charbon,12
Charbon de bois,4
Charbon de terre,2
Chaux,5
Cérises,2
Diverses marchandises,24
Eau-de-vie,47
Echalotte,12
Etoupe,2
Fagots,97
Farine,10
Feuillard,8
Fourrage,6
Fromage,2
Froment,16
Futailles vides,21
Fèves,16
Goudron,2
Grain,4
Graines de lin,2
Hardes,2
Hardes de mer,2
Huitres,2
Laine,3
Lard salé,2
Lentilles,4
Lest,49
Marchandises permises,22
Moutarde,2
Noix,2
Oignons,6
Orge,6
Pierres,6
Planches,33
Pommes,3
Poterie,4
Pêche au poisson frais,52
Pêche à la morue,12
Pêche à la sardine,10
Résine,3
Salaisons,7
Sardines,10
Sel,94
Soude,4
Sucre,4
Tuilles,3
Turbe,3
Ustensiles de pêche,18
Verge de moulin,2
Verre cassé,2
Vide,219
Vieux Fer,3
Vin,130
Vinaigre,13
Vinatérie,3
Vivres,18
Voiles,2
vide,12515
à l'aventure,13
