value,count
IA-FBBCxx-JF-HAxxxx-FBxx,2
IB-Axxxxx-xx-xxxxxx-xxxx,3
IB-Bxxxxx-JR-BBBxxx-xxxx,13
IB-Bxxxxx-JR-BBDxxx-xxxx,4
IB-Bxxxxx-xx-xxxxxx-xxxx,6
IB-Cxxxxx-xx-xxxxxx-xxxx,2
IC-CAxxxx-xx-xxxxxx-FBFx,24
ID-BAxxxx-xx-xxxxxx-FBxx,3
ID-BDxxxx-JF-AAAxxx-FBxx,4
ID-BDxxxx-xx-xxxxxx-FBxx,3
ID-EFAxxx-xx-xxxxxx-FBxx,6
ID-EFBxxx-xx-xxxxxx-FBxx,6
ID-FFBxxx-JF-FAAAxx-FBxx,8
ID-FFBxxx-JF-HIAxxx-FBxx,13
ID-GTHxxx-xx-xxxxxx-RTxx,2
ID-MBCxxx-xx-xxxxxx-xxxx,3
ID-OABBxx-JF-CBBxxx-FBxx,6
IF-EBAAxx-xx-xxxxxx-FBxx,2
JF-FAxxxx-JF-EGBxxx-FBxx,8
TM-Bxxxxx-xx-xxxxxx-xxxx,3
TM-Zxxxxx-xx-xxxxxx-xxxx,15
vide,13680
xx-xxxxxx-JZ-MAAxxx-xxxx,2
xx-xxxxxx-JZ-MAxxxx-xxxx,11
