value,count
1787>10>00!,9
1789<06<18,4
1789<09<07,5
1789<10<17,5
1789>01>27,10
1789>01>31,17
1789>02>02,7
1789>02>04,12
1789>02>05,29
1789>02>06!,8
1789>02>07,9
1789>02>10,41
1789>02>14,5
1789>02>17,22
1789>02>20,5
1789>02>21,27
1789>03>04,30
1789>03>07,13
1789>03>11,26
1789>03>12,5
1789>03>13,15
1789>03>14,28
1789>03>16,16
1789>03>17,14
1789>03>18,21
1789>03>26,42
1789>03>27,5
1789>03>28,29
1789>04>01,58
1789>04>02,38
1789>04>08,21
1789>04>10,27
1789>04>17!,1
1789>04>20,19
1789>04>22,41
1789>04>23,17
1789>04>27,16
1789>04>30,10
1789>05>01,10
1789>05>04,9
1789>05>11,36
1789>05>12,45
1789>05>16,18
1789>05>18,26
1789>05>20,19
1789>05>23,27
1789>05>24!,2
1789>05>26,7
1789>05>27,42
1789>05>28,14
1789>05>29,5
1789>05>30,26
1789>06>02,9
1789>06>04,10
1789>06>06,5
1789>06>09,5
1789>06>10,21
1789>06>12,47
1789>06>13,54
1789>06>16,10
1789>06>17,5
1789>06>18,3
1789>06>19,58
1789>06>20,4
1789>06>21,1
1789>06>27,4
1789>07>03,17
1789>07>04,21
1789>07>05,27
1789>07>06,3
1789>07>08,43
1789>07>09,13
1789>07>10,26
1789>07>12,6
1789>07>13,25
1789>07>16,27
1789>07>17,6
1789>07>18,47
1789>07>20,51
1789>07>21,9
1789>07>22,10
1789>07>23,26
1789>07>24,20
1789>07>25,7
1789>07>27,36
1789>07>28,38
1789>07>29,47
1789>07>31,10
1789>08>01,7
1789>08>03,22
1789>08>05,10
1789>08>07,73
1789>08>08,7
1789>08>10,2
1789>08>11,14
1789>08>12,34
1789>08>13,57
1789>08>14,44
1789>08>17,48
1789>08>18,23
1789>08>19,7
1789>08>21,28
1789>08>22,37
1789>08>23,10
1789>08>23!,1
1789>08>24,47
1789>08>25,1
1789>08>26,81
1789>08>27,43
1789>08>28,39
1789>08>29,21
1789>08>31,2
1789>09>02,19
1789>09>03,58
1789>09>04,10
1789>09>05,15
1789>09>07,12
1789>09>08,9
1789>09>09,11
1789>09>10,10
1789>09>11,26
1789>09>12,23
1789>09>13,6
1789>09>14,15
1789>09>15,27
1789>09>16,48
1789>09>17,17
1789>09>18,13
1789>09>19,13
1789>09>21,24
1789>09>22,10
1789>09>23,5
1789>09>24,36
1789>09>26,40
1789>09>27,1
1789>09>28,15
1789>09>29,72
1789>09>30,13
1789>10>01,41
1789>10>02,5
1789>10>05,28
1789>10>06,26
1789>10>07,5
1789>10>08,14
1789>10>09,17
1789>10>10,8
1789>10>14,12
1789>10>15,14
1789>10>20,31
1789>10>21,26
1789>10>22,5
1789>10>24,3
1789>10>26,36
1789>10>28,6
1789>10>30,8
1789>10>31,45
1789>11>02,34
1789>11>05,33
1789>11>12,5
1789>11>13,43
1789>11>18,20
1789>11>19,9
1789>11>20,44
1789>11>26,5
1789>11>27,4
1789>11>28,11
1789>11>29,29
1789>12>01,43
1789>12>02,15
1789>12>03,9
1789>12>04,14
1789>12>07,45
1789>12>09,30
1789>12>11,14
1789>12>13,27
1789>12>14,16
1789>12>18!,2
1789>12>21,21
1789>12>22,10
1789>12>29,6
1789>12>31,14
vide,3701
