value,count
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""Maryland""}]",4
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""Massachusetts""}]",17
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""New York""}]",1
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""Pennsylvania""}]",2
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""Rhode Island""}]",1
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""Virginia""}]",2
"[{""1749-1794"" : ""Austrian Netherlands ""}]",17
"[{""1749-1794"" : ""French colonies in America""},{""1794-1802"" : ""British colonies in America""},{""1802-1810"" : ""French colonies in America""},{""1810-1815"" : ""British colonies in America""}]",1
"[{""1749-1794"" : ""Friesland""}]",5
"[{""1749-1794"" : ""Holland""}]",34
"[{""1749-1794"" : ""Zeeland""}]",2
"[{""1749-1803"" : ""French colonies in America""}]",2
"[{""1749-1815"" : ""British colonies in America""}]",2
"[{""1749-1815"" : ""Channel Islands""}]",7
"[{""1749-1815"" : ""England""}]",91
"[{""1749-1815"" : ""French colonies in America""}]",2
"[{""1749-1815"" : ""French colonies in Asia""}]",2
"[{""1749-1815"" : ""Ireland""}]",7
"[{""1749-1815"" : ""Norway""}]",57
"[{""1749-1815"" : ""Portuguese Atlantic Islands""}]",2
"[{""1749-1815"" : ""Portuguese colonies in Africa""}]",2
"[{""1749-1815"" : ""Scotland""}]",4
"[{""1749-1815"" : ""Wales""}]",1
"[{""1763-1815"" : ""French colonies in America""}]",5
vide,13559
