value,count
00000013,24
00000027,23
00000038,3
00000043,130
00000051,41
00000053,2
00000055,3
00000066,4
00000068,33
00000070,12
00000071,4
00000090,13
00000093,6
00000094,49
00000095,4
00000098,3
00000106,2
00000110,2
00000124,10
00000129,94
00000130,18
00000147,4
00000167,2
00000201,47
00000203,93
00000205,14
00000208,2
00000213,2
00000234,27
00000235,2
00000240,12
00000242,21
00000254,10
00000257,18
00000259,52
00000280,10
00000281,18
00000298,16
00000305,2
00000356,22
00000379,9
00000414,97
00000419,2
00000420,6
00000444,16
00000469,219
00000470,13
00000512,4
00000522,3
00000524,8
00000542,5
00000548,6
00000566,3
00000616,8
00000630,6
00000634,4
00001274,12
00001277,2
00001278,4
00001280,3
00001282,3
00001283,3
00001284,7
00001289,2
00001293,2
00001294,2
00001295,2
00001297,2
00001298,3
00001300,2
00001301,2
vide,12515
