value,count
Droit d' ancrage,4
Droit de balise,1
Droit de comission en guerre et en marchandises [Français],2
Droit de congé de pêche [morue à Terre-Neuve],64
Droit de congé français,12495
Droit de congé français  [de pêche à la morue],6
Droit de congé français [de pêche aux moules],1
Droit de congé français [de pêche du poisson frais] pour 6 mois,3
Droit de congé français [de pêche à la morue à Terre-Neuve],8
Droit de congé français [de pêche à la sardine],8
Droit de congé français [pour la pêche au poisson frais] pour une année,5
Droit de congé français [pour la pêche de la sardine],59
Droit de congé français [pour la pêche],2
Droit de congé français [pêche aux moules],5
Droit de congé français [pêche du poisson frais],93
Droit de congé français de pêche au poisson frais pour un an,56
Droit de congé français de pêche des moules et du poisson frais pour 4 mois,1
Droit de congé français pour la pêche au poisson frais pour 4 mois,1
Droit de congé français pour la pêche pêche des moules et du poisson frais pour 6 mois,1
Droit de congé pour les colonies,41
Droit de congé pour les colonies et commission en guerre,2
Droit de congé étranger,782
Droit de six sols par livre sur le droit de congé,162
droit de congé,2
droit de congé français,24
vide,1
