value,count
"ANF, G5-118",2962
"ANF, G5-120",180
"ANF, G5-121-2",34
"ANF, G5-125",577
"ANF, G5-126-1",149
"ANF, G5-129",874
"ANF, G5-131",720
"ANF, G5-132-2",2072
"ANF, G5-145",31
"ANF, G5-146",438
"ANF, G5-147",136
"ANF, G5-148",209
"ANF, G5-151B",954
"ANF, G5-152",132
"ANF, G5-155A",79
"ANF, G5-156-2",48
"ANF, G5-39B",1259
"ANF, G5-40B-1",616
"ANF, G5-42",241
"ANF, G5-55",203
"ANF, G5-61-2",26
"ANF, G5-62",1202
"ANF, G5-63",115
"ANF, G5-88",2
"ANF, G5-91",570
