value,count
FC-BBxxxx-xx-xxxxxx-xxxx,10
FD-AAxxxx-xx-xxxxxx-xxxx,52
IA-FCBBxx-xx-xxxxxx-FBxx,10
IA-FDBCAx-xx-xxxxxx-FBxx,2
IB-Axxxxx-JR-BCExxx-xxxx,2
IB-Axxxxx-xx-xxxxxx-xxxx,41
IB-Bxxxxx-JR-BBBxxx-xxxx,97
IB-Bxxxxx-JR-BBDxxx-xxxx,4
IB-Bxxxxx-JR-BCBxxx-xxxx,18
IB-Bxxxxx-xx-xxxxxx-xxxx,93
IB-Cxxxxx-JR-BEBxxx-xxxx,33
IB-Cxxxxx-xx-xxxxxx-xxxx,27
IC-AAAxxx-xx-xxxxxx-xxxx,2
IC-CAxxxx-xx-xxxxxx-FBFx,94
ID-AAxxxx-xx-xxxxxx-FBxx,18
ID-BAxxxx-xx-xxxxxx-FBxx,4
ID-BDxxxx-JF-AAAxxx-FBxx,10
ID-BDxxxx-xx-xxxxxx-FBxx,39
ID-BFxxxx-xx-xxxxxx-FDxx,6
ID-BGxxxx-xx-xxxxxx-FDxx,4
ID-EBBAxx-xx-xxxxxx-FBxx,16
ID-EFAxxx-xx-xxxxxx-FBxx,6
ID-EFBxxx-xx-xxxxxx-FBxx,14
ID-FFBxxx-JF-FAAAxx-FBxx,130
ID-FFBxxx-JF-HIAxxx-FBxx,13
ID-FFCxxx-xx-xxxxxx-FBxx,3
ID-GBAxxx-JF-DCAxxx-FBxx,4
ID-GTHxxx-xx-xxxxxx-RTxx,3
ID-NCxxxx-JF-HBCDxx-FBxx,2
ID-OAAxxx-JF-CCxxxx-FBxx,2
ID-OABBxx-JF-CBBxxx-FBxx,9
ID-OWBFxx-xx-xxxxxx-xxxx,3
JF-FAxxxx-JF-EGBxxx-FBxx,47
TM-Bxxxxx-xx-xxxxxx-xxxx,13
TM-Zxxxxx-xx-xxxxxx-xxxx,268
vide,12684
xx-xxxxxx-JZ-MAAxxx-xxxx,22
xx-xxxxxx-JZ-MAxxxx-xxxx,24
