value,count
"[{""1744-1806"" : ""East Frisia""}]",8
"[{""1749-1775"" : ""British colonies in America""}]",2
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""Maryland""}]",4
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""Massachusetts""}]",35
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""New York""}]",2
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""Pennsylvania""}]",2
"[{""1749-1783"" : ""British colonies in America""},{""1783-1815"" : ""Virginia""}]",4
"[{""1749-1794"" : ""Friesland""}]",16
"[{""1749-1794"" : ""Groningen""}]",14
"[{""1749-1794"" : ""Holland""}]",80
"[{""1749-1794"" : ""Zeeland""}]",8
"[{""1749-1815"" : ""Channel Islands""}]",10
"[{""1749-1815"" : ""England""}]",252
"[{""1749-1815"" : ""Gelderland ""}]",2
"[{""1749-1815"" : ""Ireland""}]",12
"[{""1749-1815"" : ""Norway""}]",110
"[{""1749-1815"" : ""Scotland""}]",16
"[{""1749-1815"" : ""Wales""}]",2
vide,13250
