value,count
SRID=3857;POINT(-100187.541713946 5772340.30235944),494
SRID=3857;POINT(-105753.516253609 5711177.16398138),5
SRID=3857;POINT(-110838.813232027 5830564.61167064),985
SRID=3857;POINT(-120596.07791955 5772340.30235944),100
SRID=3857;POINT(-124306.801825653 5751018.49468951),91
SRID=3857;POINT(-127156.135511997 5756344.59154954),72
SRID=3857;POINT(-128017.414412265 5807098.06883828),272
SRID=3857;POINT(-132105.511392157 5811436.58217566),378
SRID=3857;POINT(-144715.338031255 5769672.21543899),707
SRID=3857;POINT(-152136.67452397 5812457.49134197),739
SRID=3857;POINT(-153991.92515753 5785692.46683019),281
SRID=3857;POINT(-168834.598142963 5815138.50230954),90
SRID=3857;POINT(-172545.210729575 5977511.62823253),1
SRID=3857;POINT(-177872.182322506 6247452.45641603),1
SRID=3857;POINT(-198519.72147484 6340157.06792337),6
SRID=3857;POINT(-216530.213209774 5892899.39736539),16
SRID=3857;POINT(-217399.618432871 5949422.64017935),8
SRID=3857;POINT(-222492.262497682 5938016.25239048),105
SRID=3857;POINT(-224494.343539599 6215681.04290064),42
SRID=3857;POINT(-233770.930665874 5961137.93078956),4
SRID=3857;POINT(-250468.854284867 5942074.07243111),81
SRID=3857;POINT(-259745.441411142 5895948.91981057),2
SRID=3857;POINT(-307260.941541851 6050053.92274881),6
SRID=3857;POINT(-307983.961634555 6026818.83849098),21
SRID=3857;POINT(-311694.574221166 6040565.20878006),9
SRID=3857;POINT(-322088.141118062 6032155.24377141),49
SRID=3857;POINT(-328392.497840156 6035064.06965767),1520
SRID=3857;POINT(-346945.783412201 6021326.27207829),24
SRID=3857;POINT(-346945.783412201 6040565.20878006),2
SRID=3857;POINT(-354367.008585424 5993916.2337604),9
SRID=3857;POINT(-359932.983125088 6238177.18370221),1
SRID=3857;POINT(-374775.656110517 6065364.06159726),20
SRID=3857;POINT(-38961.8217776462 6306026.61495135),8
SRID=3857;POINT(-425919.837682617 6203040.61605563),49
SRID=3857;POINT(-499082.34661668 6173660.45196293),9
SRID=3857;POINT(-512069.657649058 6154121.4586696),25
SRID=3857;POINT(-528767.581268051 6184845.73925701),6
SRID=3857;POINT(-565874.041092642 6182047.99917679),18
SRID=3857;POINT(-63081.081889351 5595321.22954371),164
SRID=3857;POINT(-72357.669015629 5753680.82478874),665
SRID=3857;POINT(-76068.2816022408 5753680.82478874),208
SRID=3857;POINT(-76068.2816022408 5761672.92206569),20
SRID=3857;POINT(-7866179.19667926 5253872.34341505),1
SRID=3857;POINT(-7910174.99715007 5214251.27094408),2
SRID=3857;POINT(120596.07791955 6348711.37099131),5
SRID=3857;POINT(120596.07791955 6434738.28597906),6
SRID=3857;POINT(181821.79785585 6478086.63255543),50
SRID=3857;POINT(40817.1837306977 6403092.28842494),12
SRID=3857;POINT(81634.2561419041 6423216.85371095),3
vide,92
