value,count
38.349909,3
42.354637,2
42.617109,1
43.483333,17
44.833333,218
44.916667,10
45.633333,4
45.6755,240
45.75,6
45.766667,12
45.8,35
45.816667,319
45.833333,26
45.850003,5
45.9,10
45.933333,201
45.943666,224
45.95,966
45.964614,176
46.033333,114
46.044980,8
46.166667,1062
46.188459,70
46.2,896
46.216667,55
46.25,176
46.312468,1116
46.333333,8
46.366667,52
46.396209,15
46.466277,1
46.5,50
46.697882,4
46.71658,15
46.916667,12
46.975134,30
47,14
47.045002,4
47.216667,86
47.3,97
47.549033,7
47.566667,54
47.65,19
47.657445,21
47.681292,832
47.75,1
48.4,7
48.574926,6
48.838204,1
49.183333,11
49.420164,30
49.640322,5
49.866667,10
49.933333,3
49.963589,6
50.183333,17
50.516667,3
50.716667,7
50.95,7
50.983333,14
51.05,59
52.35,4
