value,count
Bois,1008
Bois de construction,52
Bois merrain,27
Bois à brûler,74
Bouteilles ,5
Briques,54
Café,14
Cendre de varech,9
Charbon,27
Charbon de terre,21
Chaux,11
Diverses marchandises,12
Eau-de-vie,303
Fagots,20
Farine,81
Feuillard,22
Froment,50
Futailles vides,3
Fèves,84
Grain,131
Lest,1838
Marchandises d'un naufrage,3
Oignons,8
Planches,149
Pêche au poisson frais,2
Pêche des moules,17
Pêche à la sardine,7
Sardines,12
Sardines pressées de Bretagne,5
Sel,1248
Son,15
Soude,41
Vide,229
Vin,131
vide,1771
