value,count
Aligre,37
Beauvoir,7
Bouin,52
Bourgneuf,10
Carteret,8
Charente,2
Croix de Vie,2
Croizic,2
Dieppe,2
Dunkerque,2
Furet,2
Granville,4
Ile Dieu,8
Ile d' Yeu,6
Isle Dieu,29
Isle d' Ars,3
Königsberg,2
L' Ile Dieu,2
La Rochelle,2
Libourne,21
Marennes,14
Mean,42
Means,2
Meschers,3
Méan,68
Nantes,18
Noirmoutier,92
Pornic,4
Quiberon,6
Rhuis,6
Rhuys,2
Ruys,2
Saint Gilles,4
Saint Gilles sur Vie,4
Saint Malo,8
Saint Valery sur Somme,2
Saint Valéry en Caux,2
Saint Valéry sur Somme,4
Tailleb	ourg,40
Taillebourg,13
vide,13285
Île d' Yeu,2
île d' Yeu,3
