value,count
1789<01<27,10
1789<07<08,11
1789<07<09,5
1789<07<12,6
1789<07<22,10
1789<07<24,3
1789<09<05,26
1789<09<14,5
1789<10<09,12
1789<10<15,12
1789<12<01,26
1789=01=03,22
1789=01=05,4
1789=01=13,6
1789=01=16,2
1789=01=20,44
1789=01=21,66
1789=01=26,7
1789=01=27,51
1789=01=28,3
1789=01=29,10
1789=01=30,35
1789=01=31,38
1789=02=02,7
1789=02=04,12
1789=02=05,56
1789=02=06,35
1789=02=07,33
1789=02=09,5
1789=02=10,41
1789=02=11,53
1789=02=12,17
1789=02=13,5
1789=02=14,10
1789=02=17,36
1789=02=18,26
1789=02=19,15
1789=02=20,6
1789=02=21,27
1789=02=24,21
1789=02=27,43
1789=02=28,9
1789=03=01,10
1789=03=02,3
1789=03=04,40
1789=03=05,29
1789=03=07,34
1789=03=11,41
1789=03=12,5
1789=03=13,34
1789=03=14,54
1789=03=15,21
1789=03=16,47
1789=03=17,35
1789=03=18,21
1789=03=19,8
1789=03=20,11
1789=03=21,27
1789=03=24,29
1789=03=26,76
1789=03=27,26
1789=03=28,62
1789=03=30,3
1789=04=01,58
1789=04=02,38
1789=04=06,21
1789=04=08,21
1789=04=09,21
1789=04=10,57
1789=04=11,55
1789=04=16,51
1789=04=17,34
1789=04=20,29
1789=04=22,68
1789=04=23,17
1789=04=24,26
1789=04=25,26
1789=04=27,33
1789=04=28,16
1789=04=30,37
1789=05=01,17
1789=05=02,26
1789=05=04,9
1789=05=05,26
1789=05=06,44
1789=05=07,18
1789=05=11,43
1789=05=12,76
1789=05=15,21
1789=05=16,18
1789=05=18,26
1789=05=20,19
1789=05=23,27
1789=05=24,2
1789=05=26,7
1789=05=27,54
1789=05=28,19
1789=05=29,23
1789=05=30,47
1789=06=02,9
1789=06=04,10
1789=06=05,27
1789=06=06,5
1789=06=09,5
1789=06=10,47
1789=06=12,47
1789=06=13,54
1789=06=15,21
1789=06=16,10
1789=06=17,8
1789=06=18,5
1789=06=19,58
1789=06=20,30
1789=06=21,1
1789=06=25,7
1789=06=26,26
1789=06=27,4
1789=07=01,21
1789=07=03,17
1789=07=04,21
1789=07=05,27
1789=07=06,3
1789=07=08,48
1789=07=09,34
1789=07=10,26
1789=07=12,6
1789=07=13,35
1789=07=16,27
1789=07=17,6
1789=07=18,47
1789=07=20,83
1789=07=21,9
1789=07=22,28
1789=07=23,47
1789=07=24,20
1789=07=25,30
1789=07=26,12
1789=07=27,46
1789=07=28,48
1789=07=29,53
1789=07=31,57
1789=08=01,11
1789=08=03,34
1789=08=04,11
1789=08=05,12
1789=08=06,3
1789=08=07,79
1789=08=08,86
1789=08=10,8
1789=08=11,18
1789=08=12,34
1789=08=13,83
1789=08=14,44
1789=08=17,63
1789=08=18,23
1789=08=19,32
1789=08=20,12
1789=08=21,35
1789=08=22,52
1789=08=23,10
1789=08=24,76
1789=08=25,9
1789=08=26,91
1789=08=27,64
1789=08=28,39
1789=08=29,21
1789=08=31,23
1789=09=01,26
1789=09=02,41
1789=09=03,58
1789=09=04,15
1789=09=05,41
1789=09=07,18
1789=09=08,30
1789=09=09,22
1789=09=10,42
1789=09=11,26
1789=09=12,44
1789=09=13,6
1789=09=14,11
1789=09=15,27
1789=09=16,45
1789=09=17,22
1789=09=18,16
1789=09=19,9
1789=09=21,66
1789=09=22,10
1789=09=23,7
1789=09=24,37
1789=09=26,36
1789=09=27,11
1789=09=28,41
1789=09=29,78
1789=09=30,9
1789=10=01,79
1789=10=02,10
1789=10=05,16
1789=10=06,26
1789=10=08,14
1789=10=09,38
1789=10=14,25
1789=10=15,12
1789=10=20,31
1789=10=21,26
1789=10=22,21
1789=10=23,26
1789=10=24,10
1789=10=26,36
1789=10=27,4
1789=10=29,15
1789=10=30,34
1789=10=31,30
1789=11=01,21
1789=11=02,27
1789=11=05,33
1789=11=10,11
1789=11=12,5
1789=11=13,36
1789=11=17,31
1789=11=18,5
1789=11=20,34
1789=11=21,12
1789=11=23,26
1789=11=25,21
1789=11=26,5
1789=11=28,16
1789=11=29,29
1789=12=01,17
1789=12=02,29
1789=12=04,14
1789=12=05,21
1789=12=07,45
1789=12=09,27
1789=12=13,27
1789=12=14,12
1789=12=18,2
1789=12=21,21
1789=12=22,10
1789=12=31,14
vide,971
