value,count
1,15
10,471
100,147
101,12
102,14
103,12
104,10
105,28
106,6
107,16
108,16
109,2
11,16
110,63
111,6
112,34
113,12
114,8
115,13
116,32
117,6
118,18
119,4
12,200
120,72
121,12
122,8
123,4
124,4
125,20
126,12
127,8
128,4
129,6
13,20
130,50
131,6
132,8
133,28
134,4
135,18
136,12
137,10
138,4
139,2
14,102
140,20
141,4
142,4
144,4
145,2
146,2
147,4
148,8
149,2
15,777
150,93
151,6
152,6
153,8
155,6
156,4
158,2
16,229
160,26
162,4
163,4
164,6
165,6
166,4
167,2
17,120
170,8
172,2
173,4
174,4
175,8
176,6
178,2
179,2
18,344
180,16
181,2
185,2
186,2
187,2
188,4
189,2
19,41
190,14
194,2
195,4
196,6
197,2
2,206
20,1110
200,49
201,2
208,2
21,41
210,10
213,2
214,2
217,2
22,195
220,10
223,2
229,2
23,20
230,8
236,2
237,4
24,186
240,8
242,2
243,2
244,2
246,2
25,307
250,6
252,2
253,2
26,225
260,4
262,2
266,2
27,177
270,2
28,367
280,6
29,92
290,4
292,2
3,120
30,614
300,10
31,40
315,2
32,887
33,88
34,91
340,2
35,149
36,436
360,2
369,2
37,104
38,258
39,144
4,357
40,563
400,2
402,2
404,2
41,26
415,2
42,77
43,26
44,50
440,4
45,114
450,4
46,39
47,34
48,55
480,2
49,10
5,301
50,301
500,3
51,20
517,2
52,40
529,2
53,32
534,2
535,2
54,56
55,119
56,42
57,36
58,42
584,2
59,38
6,203
60,197
61,55
614,2
62,60
63,30
630,2
64,56
65,41
66,44
67,10
68,12
69,14
7,81
70,135
701,4
71,36
711,2
72,30
73,22
74,20
75,82
76,28
77,26
78,16
79,4
8,121
80,129
809,2
81,12
82,26
827,2
83,26
84,4
85,39
850,2
86,14
87,12
88,16
89,16
9,116
90,83
91,12
92,6
93,22
94,14
95,18
96,20
97,16
98,22
99,15
vide,16
