value,count
10 sous la pinte,4
10s la pinte,1
"11 sous la pinte (erreur sur le doc, ils ont marqué 10sous)",6
"11s la pinte, erreur de calcul",1
14 sous la pinte ou 202lt et 2s le muid,8
15500 en nombre,1
20lt les 250 pintes,7
2200 veltes et 500 pintes,1
25lt le quintal,2
25lt les 250 pintes,1
25lt les 4800 livress,2
3 lt 12 s la velte; erreur de calcul,1
3 muids et 136 pintes (M/ses estimées),1
30lt la livre,1
311 muids et 55 pintes (M/ses estimées),1
36 livres le barril,2
4lt 8 sous la velte,3
4lt 8s la velte,1
4lt la velte,3
50lt les 2000 livres,1
60 lt et 2226 pièces,1
69 muids et 12 pintes (M/ses estimées),1
80 les cent,2
9 muids et 40 pintes,1
Bestiaux et bêtes de sommmes et autres animaux,5
Dernier chiffre illisible,13
Il s'agit d'un retour,1
Marchandises en estimation,2
Pas d'unité,1
Pas de quantité indiquée,16
arrondi,8
en millier,2
en quinatl,1
en quintal,103
erreur de calcul,9
marchandises en estimation,214
marchandises en estimtion,8
marchandises en etsimation,1
marchdises en estimation,3
matchandises en estimation,1
nb estimé,2
prix unitaire non identifiable,2
prix unitaire non lisible,2
prix unitaire non visible,3
vide,612
