value,count
1,13
10,5
100,5
1007,2
1016,5
1020,1
1035,2
104,3
1047,2
105,2
106,9
1070,3
1095,3
1097,2
11,4
1106,5
112,1
1147,2
1158,8
1167,4
1168,1
117,2
1178,10
118,1
12,3
121,2
1216,7
122,2
1228,9
1234,7
1262,29
127,1
128,1
13,5
1323,5
1344,1
135,1
1355,5
137,7
1377,2
138,1
1389,2
14,1
1400,2
141,6
142,2
147,1
1470,2
1492,11
15,1
150,1
151,1
153,3
1532,1
1545,6
1557,2
157,3
1580,9
159,7
1593,4
16,6
1621,4
1641,15
1643,2
165,3
166,2
167,1
168,4
1682,21
17,3
172,1
173,2
1752,1
177,4
1772,8
18,1
185,3
1868,12
187,1
188,1
19,3
1906,8
1912,1
195,2
196,3
197,1
198,4
199,2
2,33
20,2
202,1
203,1
204,1
206,3
207,1
21,6
215,2
216,2
2165,14
217,5
218,1
22,4
221,1
222,1
223,5
225,3
2265,4
23,3
231,1
234,1
240,5
243,1
245,4
246,1
247,1
255,1
261,1
263,2
264,9
2648,3
265,2
268,1
2680,6
270,33
272,2
273,3
279,1
28,1
285,1
288,1
289,18
294,1
299,1
3,7
300,1
305,4
31,4
310,1
3107,6
314,1
3188,5
327,3
33,4
338,1
346,3
349,3
35,2
351,4
357,1
36,2
367,1
368,1
372,2
379,2
383,3
385,1
388,4
390,1
396,2
4,6
40,3
406,1
409,3
41,7
412,1
417,1
419,1
42,1
420,3
422,2
440,3
448,2
451,2
452,1
458,1
46,1
460,1
467,3
471,4
475,8
48,3
480,1
485,2
488,2
492,2
498,1
5,3
500,1
503,2
505,1
506,1
509,3
510,27
513,1
52,2
523,1
529,4
53,2
530,8
538,2
54,1
541,3
542,1
551,2
558,1
56,10
561,6
562,1
563,2
58,1
581,2
584,3
586,3
587,8
590,5
593,12
6,5
61,8
611,2
614,3
615,2
629,4
632,5
634,1
640,5
641,1
642,1
647,3
656,8
667,5
669,2
67,2
675,2
684,4
689,1
69,2
693,2
698,1
7,4
70,1
700,1
71,1
72,2
73,2
737,1
75,3
751,4
752,1
758,1
760,11
766,1
774,1
777,7
78,3
783,2
786,7
79,1
790,1
8,2
801,1
808,2
81,3
826,1
828,5
83,1
844,22
85,2
855,3
86,3
89,1
892,2
9,6
90,1
91,3
910,2
93,2
933,2
940,4
941,5
947,4
95,2
961,2
972,2
99,4
vide,36
