value,count
séné,1
tartre,1
terraille,1
thé,1
toile Guinée,6
toile Nankin,1
toile babassis,1
toile bajutapau,3
toile basin,2
toile basin fil et coton,2
toile bayette,2
toile blanche,5
toile chasselas,4
toile cotonnade,1
toile cotonnade coton,1
toile coupis,1
toile coutil,2
toile custas,1
toile d'emballage,3
toile de chanvre,3
toile de chanvre rousse,6
toile de chanvre à carreaux,2
toile de chanvre à voile,2
toile de coton,5
toile de fil,2
toile de fil diverse,1
toile de fil et coton,3
toile de lin,3
toile de lin blanche,6
toile de lin rousse,3
toile de lin à carreaux,1
toile des Indes bala ? hala ? illisible,1
toile des Indes k...chaya illisible,1
toile guingans,2
toile indienne,3
toile indienne de coton,3
toile kircochaye,1
toile limeneas,1
toile neganepeau,1
toile photas,1
toile platille,3
toile salemporis bleue,1
toile sanas lustrée,1
toile siamoise fil et coton,1
toile socreton,1
toile socreton bleue,1
toile tapsel,1
toile à carreaux,1
toile à voile,1
toile écrue,1
ustensiles de pêche,2
vaches,2
veaux,2
velours de coton,1
verges à moulins,1
verrerie en bouteilles,3
verroterie en rassades,4
vieux linge,1
vin,22
vin blanc,8
vin d'Espagne,1
vin de Bordeaux,1
vin de Champagne,1
vin de Constance,1
vin de Malaga,2
vin de liqueurs,1
vin divers,2
vin divers étranger,1
vin ordinaire,2
vin rouge,9
vinaigre,15
voitures,1
volailles,2
épicerie cassonade,1
épicerie diverse,2
épicerie piment,1
éponges,2
étain,1
étain en saumon,1
étoffe au quart de soie,1
étoffe de coton,2
étoffe de laine,8
étoffe de laine diverse,1
étoffe de soie,4
étoffe de soie et dorure,1
étoffe de soie et fil,1
étoffe diverse de coton,1
étoffe diverse en laine,1
étoffe en flanelle fil et laine,1
étoffe fil et laine,2
étoffe flanelle de laine,1
étoffe fleuret,1
étoupes,2
